Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time
-0.196981501,-0.350658066,-0.879434761,0.357049747,0.851225598,-0.477528511,0.855687611,-0.178343379,-0.250602399,0.530309815,-0.381038379,-0.165988212,-0.146307734,3.038397906,-0.072357461,-0.071467469,-0.071467469,-0.440899328,-1.193512511,-0.487519511,0.005014665
-0.360243065,-0.795083076,1.367891079,1.36907033,0.223206937,-0.477528511,-0.878923539,-0.178343379,-0.250602399,-0.799447068,-0.381038379,-0.165988212,-0.146307734,-0.322429366,-0.072357461,-0.071467469,-0.071467469,0.289899985,-0.208427558,0.936653119,-0.198030706
0.093261279,-0.795083076,-1.06165037,-0.799545205,-0.954328054,-0.477528511,-0.878923539,-0.178343379,-0.250602399,-0.799447068,-0.381038379,-0.165988212,-0.146307734,-0.322429366,-0.072357461,-0.071467469,-0.071467469,1.887598888,0.382623414,0.529746654,-0.240331826
0.456064753,3.245144284,1.147023674,-0.07667336,0.223206937,9.989745976,-0.802844102,-0.178343379,-0.250602399,-0.799447068,-0.381038379,7.974429836,-0.146307734,-0.322429366,-0.072357461,-0.071467469,-0.071467469,-0.997135243,0.382623414,1.953919284,-0.248792049
0.410714319,2.033076076,1.395499504,2.091942175,-1.085165276,0.569198938,-0.802844102,-0.178343379,0.55306656,-0.134568626,-0.381038379,-0.165988212,-0.146307734,-0.322429366,-0.072357461,-0.071467469,-0.071467469,-0.109524741,-0.011410567,0.326293421,-0.147269363
-0.351172978,-0.714278529,-0.29413614,-0.799545205,0.327876713,-0.477528511,1.41867544,-0.178343379,-0.250602399,0.796261192,-0.381038379,-0.165988212,-0.146307734,-0.322429366,-0.072357461,-0.071467469,-0.071467469,-0.943878612,-0.996495521,-0.894425977,0.072696456
0.410714319,4.457212492,0.153120354,-0.07667336,0.354044158,-0.477528511,-0.787628215,-0.178343379,0.55306656,-0.799447068,-0.381038379,4.718262617,-0.146307734,-0.322429366,-0.072357461,-0.071467469,-0.071467469,-0.094731232,1.072182881,0.580609962,-0.20649093
-0.042790024,4.053189756,0.153120354,-0.07667336,0.354044158,-0.477528511,-0.787628215,-0.178343379,0.070865185,-0.799447068,-0.381038379,4.718262617,-0.146307734,-0.322429366,-0.072357461,-0.071467469,-0.071467469,0.109419183,1.170691377,0.834926503,-0.189570483
-0.360243065,-0.795083076,0.042686652,-0.799545205,1.924090812,1.929944621,1.190437131,-0.178343379,-0.250602399,-0.799447068,-0.381038379,-0.165988212,-0.146307734,-0.322429366,-0.072357461,-0.071467469,-0.071467469,-1.287088007,-1.272319308,-0.467174188,-0.09650802
0.00256041,1.225030604,-0.178180752,0.284762562,1.531579149,1.929944621,0.825255836,-0.178343379,0.820956214,-0.134568626,-0.381038379,-0.165988212,-0.146307734,-0.322429366,-0.072357461,-0.071467469,-0.071467469,-1.153946431,-0.405444549,0.672163917,-0.223411378
