Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time
0.04,0.06,1.39,0.0,2.61,0.12,7.11,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.64,488.0,121.0,24.0
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.15,500.0,135.0,120.0
0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.33,475.0,140.0,28.0
0.04,0.07,1.2,0.0,2.42,0.04,6.66,0.0,0.03,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,89.536,488.0,121.0,24.0
0.0,0.0,4.17,0.0,0.41,0.0,0.0,0.0,0.0,0.12,1.1,0.0,0.0,0.0,0.0,0.0,0.0,94.2,500.0,25.0,0.0
0.5,0.35,4.0,0.7,0.6,0.1,0.25,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.25,500.0,25.0,0.0
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,0.0,0.0,0.0,92.56,530.0,170.0,72.0
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,0.0,0.0,0.0,95.45,530.0,185.0,2.0
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.15,500.0,175.0,8.0
0.62,0.33,0.28,0.06,0.9,0.17,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6,530.0,160.0,18.0
0.49,0.24,0.31,0.01,1.01,0.055,0.05,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,97.765,530.0,25.0,504.0
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7013,477.0,160.0,24.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.5,0.0,0.0,0.0,0.0,0.0,0.0,96.33,510.0,150.0,24.0
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,0.0,0.0,0.0,95.45,530.0,170.0,2.0
0.04,0.08,1.21,0.35,2.35,0.05,6.62,0.0,0.03,0.06,0.0,0.0,0.002,0.0,0.0,0.0,0.0,89.208,488.0,121.0,24.0
0.0,0.0,0.21,0.0,2.6,0.0,6.84,0.0,0.0,0.18,0.0,0.0,0.0,0.37,0.0,0.0,0.0,89.8,470.0,120.0,24.0
0.03,0.08,1.17,0.0,2.38,0.05,6.51,0.0,0.06,0.13,0.0,0.0,0.002,0.0,0.0,0.0,0.0,89.588,488.0,121.0,24.0
0.83,0.29,3.91,0.55,0.47,0.01,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.81,500.0,160.0,8.0
0.56,0.22,0.24,0.02,1.01,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88,530.0,100.0,48.0
0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,92.56,530.0,170.0,2.0
0.0,0.0,1.1,0.0,0.61,0.0,2.08,0.0,0.0,0.12,2.38,0.0,0.0,0.0,0.0,0.0,0.0,93.71,525.0,190.0,10.0
0.0,0.0,0.0,0.0,0.6,0.4,7.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.85,590.0,140.0,15.0
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01,500.0,180.0,2.0
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,0.0,0.0,0.0,95.45,530.0,170.0,8.0
