UTS,EL
593.5,20.6
607.4,16.7
574.7,25.2
505,13
290,5
572.4,21.1
584,16.1
602,8.1
500,16.1
393,18.5
420,10
543.3,17.5
601.7,14.8
529.2,20.2
667,8.3
439,4.6
526,10
458,3
368,16.6
345,11
589,19
342,14.8
495,13
425,12
186,12
628.8,11.7
220,1
445,19.3
290,10
582.8,13.8
555,15.5
405,10
570,11
502,9.6
485,14
75,43
202.6,25.6
482.2,13.2
532,28
476,9.7
425,9.4
679,12.2
489,10.1
96,42
616,11
321,15
315,17
654,13
498,15.8
398,22.3
281,12
369,15.6
628,12
449,3.9
544,15
485,11
305,13
588.8,14.7
480,8
290,10
457,9
509,10
580.9,11.1
450,19
485,18
419,18.8
285,0.5
550.8,10.8
345,8
232,3
619.2,14.1
578.1,14.5
464,3.6
220,15
559.4,16.3
411,17.8
502,10
414,26.3
561.9,8
505,13
604.8,15.5
310,17
577,10.8
435,12
463,14.5
390,9.5
474,5.4
589.4,22.7
390,12
565,11
470,10
542,8.2
428.2,23
310,17
389,23
564,1.8
540,19.4
543.6,12.7
554,1.7
580,15
405,14
593.5,17.5
568,11.4
514.8,17.5
82,39
479,7.8
560,15
583,6
543,13.3
475,24.1
340,24
511,5.5
350,20
423.6,8.8
425.7,21.4
389.8,27
338.4,11
584,11.1
575,15.5
425,6
468,17.2
476,10
642.6,9.5
379,10
493,12.5
568.5,3.8
455,10
425,12
240,12
351.7,16
644,7.7
310,14
473,23.6
542.8,30
410,11
588.9,24.1
575,13.7
507,11.2
517,5
255,10
392,6
458,9.1
625.4,11.3
545.7,15.5
287.7,41.6
502.9,17.7
500,11.5
141.6,33
170,22
400,24
234.2,22.5
296,8.2
584,10.8
380,7
390,15.2
475,24.1
489,19.2
355,3
571.5,14.2
226,6.3
522.4,12.8
572,11
589.5,11.8
379,10
235,12
281.2,16.5
581.2,17
431,15.81
588,4
624.7,12.5
328,25.2
504.5,17.1
240,22
255,1
345,11.8
250,2
241,25
372,14
230,10.3
627,8
547,17
292,8.5
542,4.3
220,3
419,8.2
542.2,27
572,9
205,12
269.8,47.9
231.4,26.3
457,10.58
515,9
395,14
380,9
543.2,16.4
185,1
260,22
563.8,4.2
467,3.6
457.8,28.76
544.9,12.2
554.7,1.69
450,7
604.7,15.6
310,14
380,13
220,25
440,9
290,15
570,11
653.8,8.9
340,18
514,3.7
380,15.1
552,11.8
240,12
525,16
457,9
604.4,15.1
500,7.6
375,4
500,15
238.4,16.9
605,10
584.2,22.3
186,12
601.8,15.5
530,20.5
586.8,23.8
585,13
205,2
525,6
249.6,19.5
543.9,17.7
578,15.8
440,19
427,5
185,1
315,11.5
660,7.6
532,19.4
585,10
440,6
193.4,19.7
420,9
641,13
648,12
525,6
472,20
475,15
425,20
380,7
432,6
310,17
255,9
554,11.7
440,10
544.6,12.3
315,21.8
542.1,29.1
402,19
430,20
474,4.3
667,9.9
205.2,24.6
463,2.7
295,24
605,3.7
501.2,3.8
533,4.7
581.5,16
470,6
405,14
583.3,10.9
621.3,4.55
498,16.5
331,11
443,16
460,16.5
548.7,12.3
502,3.8
310,12
425,18
650,8.4
400,11
425,5
469,19
226.9,17.5
239,12
480,7
591,7.9
554,12.7
470,9.5
459,8.2
408,20
440,5
230,2
527,3.9
505,10
360,16
229,10.4
632,8.6
515.8,14.4
400,9
503,5.5
530.8,16.9
475,5.6
450,8
408.8,16.3
393.7,10.6
585.2,24.5
486,10.7
256,8.2
432.2,16.9
370,6
310,11
304,8.2
571,16.7
598.3,20.8
315,22
220.5,19.1
626,10.8
265.8,16.3
425,6
315,10
529,4.7
474,3.1
563,4.2
559.1,24.9
380,15
527.8,12.3
330,2
614.6,21.9
220,3
500,16.1
643,9
382,14.4
248.9,18.1
546.7,11
567.4,26
599.8,15.4
550,10
200,3
441,10
566.5,16.3
241,12
528,24
485,9
433,4
462,19.3
323,17.3
145,20
380,10
432,5.4
514,14.2
472.5,19.75
594.4,15.3
448.5,16.3
524,11
555,15.5
489.6,16.2
354,22
427,22
588,14
489,4.7
380,13
