Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,1
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,7
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,3
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,130,1000
0,0,0,0,0.6,0.4,7,0,0.15,0,0,0,0,0,0,0,0,91.85,590,130,3
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,0.5
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,14
0,0,4.09,0,0.7,0,0.39,0,0,0.14,0.98,0,0,0,0,0,0,93.7,500,175,32
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,150,1
0.29,0.42,4.2,0.63,1.26,0,0,0,0,0,0,0,0,0,0,0,0,93.2,500,25,0
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,25,0
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,64
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,52
0.15,0.26,1.5,0,2.4,0,5.7,0,0,0,0,0,0,0,0,0,0,89.99,480,140,2
0,0,0.22,0,2.49,0,7.11,0,0,0.4,0,0,0,0.22,0,0,0,89.56,470,120,24
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,2
0.4,0.42,1.4,0.13,2.4,0.26,5.6,0,0.01,0,0,0,0,0,0,0,0,89.38,465,120,24
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,8
0.2,0.3,1.55,0.15,2.6,0.2,5.5,0,0,0,0,0,0,0,0,0,0,89.5,490,25,0
0.14,0,3.6,0.52,2.3,0,0,0,0,0,1.6,0,0,0,0,0,0,91.84,497,187,16
0.2,0.5,4.1,0.6,1.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,93.2,500,100,30
0,0,1.1,0,0.61,0,2.08,0,0,0.12,2.38,0,0,0,0,0,0,93.71,525,25,0
0,0,4.4,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.5,495,190,8
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,9
0.4,0.15,0.2,0.05,0.675,0,0.05,0,0,0,0,0,0,0,0,0,0,98.475,520,175,8
0.03,0.06,1.18,0,2.46,0,6.72,0,0.05,0.18,0,0,0.002,0,0,0,0,89.318,488,121,24
0,0,4,0,1.5,0,0,0,0,0,0,2,0,0,0,0,0,92.5,510,205,8
0,0,0.17,0,2.58,0,6.94,0,0,0,0,0,0,0.48,0,0,0,89.83,470,25,0
0.6,0.7,0.275,0.15,1,0.195,0.25,0,0.15,0,0,0,0,0,0,0,0,96.68,530,160,18
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,8
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,90,40
0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,525,160,14
0,0,1.6,0,2.5,0.23,5.6,0,0,0,0,0,0,0,0,0,0,90.07,480,120,24
0.05,0.05,1.02,0.33,1.43,0,3.56,0,0,0.12,2.12,0,0,0,0,0,0,91.32,525,160,46
0.4,0.6,0.65,0.55,1.6,0,7.5,0,0.2,0,0,0,0,0,0,0,0,88.5,493,120,24
0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,99.1,538,200,0.25
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,2
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,180,16
0.2,0.5,4.1,0.6,1.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,93.2,500,25,0
0.8,0,4.4,0.75,0.7,0,0,0,0,0,0,0,0,0,0,0,0,93.35,505,172.5,12.5
0,0,1.22,0,0.61,0,0,0,0,0.08,2.49,0,0,0,0,0,0,95.6,525,190,16
0.05,0.05,2.4,0,2.6,0,8.6,0,0,0,0,0.1,0,0,0,0,0,86.2,455,121,24
0,0,4.12,0,0.37,0,0.41,0,0,0.11,1.05,0,0,0,0,0,0,93.94,500,25,0
0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,98.5,538,200,0.25
0,0,0.21,0,2.6,0,6.84,0,0,0.18,0,0,0,0.37,0,0,0,89.8,470,120,24
1.35,0.25,0.95,0.85,1.1,0,0,0,0,0,0,0,0,0,0,0,0,95.5,530,175,8
0.84,0.37,0.32,0.18,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.69,517,152,12
0,0,2.24,0,1.95,0,7.82,0,0,0.16,0,0,0,0,0,0,0,87.83,470,120,24
0,0,0,0.35,1.98,0,5.42,0,0,0,0,0,0,0,0,0,0,92.25,470,120,12
0.05,0.05,1.02,0.31,1.62,0,3.94,0,0,0.12,0,0,0,0,0,0,0,92.89,525,100,76
1,0.25,0.1,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.45,505,170,6
0,0,1.22,0,0.63,0,0.92,0,0,0.1,2.57,0,0,0,0,0,0,94.56,525,25,0
