Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS
0.05,0.07,1.22,0.0,2.39,0.0,6.58,0.0,0.03,0.11,0.0,0.0,0.002,0.0,0.0,0.0,0.0,89.548,488.0,121.0,24.0,587.9
0.0,0.0,3.7,0.3,0.37,0.0,0.5,0.0,0.0,0.14,1.5,0.0,0.0,0.0,0.0,0.0,0.0,93.49,520.0,180.0,15.0,506.0
1.18,0.191,1.13,0.0,1.58,0.169,0.0,0.151,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.56700000000001,550.0,170.0,24.0,419.0
0.04,0.05,4.22,0.0,0.54,0.0,0.0,0.0,0.0,0.16,1.31,0.0,0.0,0.0,0.0,0.0,0.0,93.68,530.0,160.0,88.0,583.0
1.35,0.25,0.95,0.85,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5,530.0,175.0,8.0,390.0
0.082,0.35,0.12,0.3,2.3,0.0,5.2,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.518,470.0,25.0,0.0,327.0
0.0,0.0,3.7,0.3,0.37,0.0,0.5,0.0,0.0,0.14,1.5,0.0,0.0,0.0,0.0,0.0,0.0,93.49,520.0,180.0,5.0,470.0
0.16,0.28,4.52,0.58,1.62,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,92.44,495.0,160.0,3.0,411.0
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,0.0,0.0,0.0,92.56,530.0,170.0,32.0,527.0
0.05,0.07,1.22,0.0,2.56,0.0,6.87,0.0,0.04,0.08,0.0,0.0,0.002,0.0,0.0,0.0,0.0,89.108,488.0,121.0,24.0,626.0
