Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.053385,0.053176,2.465848,0.012232,2.586644,0.192378,7.283122,0.039830,0.016416,0.164361,0.000000,0.079927,0.000946,0.000000,0.000000,0.000000,0.000000,87.051736,462.579067,123.158368,24.195634,712.520569
0.053385,0.053176,2.465848,0.012232,2.586644,0.192378,7.283122,0.039830,0.016416,0.164361,0.000000,0.079927,0.000946,0.000000,0.000000,0.000000,0.000000,87.051736,462.579067,123.158368,24.195634,712.520569
0.053323,0.052817,2.467043,0.013199,2.586577,0.192737,7.286516,0.041384,0.015858,0.160804,0.000000,0.109578,0.001958,0.000000,0.000000,0.000000,0.000000,87.018207,464.115291,121.658839,24.000052,712.272786
0.053323,0.052817,2.467043,0.013199,2.586577,0.192737,7.286516,0.041384,0.015858,0.160804,0.000000,0.088795,0.001958,0.000000,0.000000,0.000000,0.000000,87.038990,464.115291,121.658839,24.000052,712.272786
0.053323,0.052817,2.467043,0.013199,2.586577,0.192737,7.286516,0.041384,0.015858,0.160804,0.000000,0.125408,0.001958,0.000000,0.000000,0.000000,0.000000,87.002378,464.115291,128.101842,24.000052,712.272786
0.053317,0.052805,2.467112,0.013197,2.586590,0.192737,7.286460,0.040841,0.015853,0.165012,0.000000,0.101631,0.001921,0.000000,0.000000,0.000000,0.000000,87.022524,464.115224,121.721575,24.000053,712.272786
0.053319,0.052809,2.467089,0.013198,2.586585,0.192737,7.286482,0.041439,0.015855,0.161772,0.000000,0.106609,0.001911,0.000000,0.000000,0.000000,0.000000,87.020194,464.115256,121.668991,24.000053,712.272786
0.053315,0.051759,2.467134,0.013052,2.586594,0.192737,7.285254,0.039971,0.015852,0.165184,0.000000,0.100471,0.001912,0.000000,0.000000,0.000000,0.000000,87.026765,463.717951,121.775116,24.000053,712.272786
0.053313,0.052796,2.467162,0.013195,2.586600,0.192736,7.286420,0.040452,0.015850,0.168030,0.000000,0.095932,0.001894,0.000000,0.000000,0.000000,0.000000,87.025620,464.115175,121.766566,24.000053,712.272786
0.053313,0.052796,2.467162,0.013195,2.586600,0.192736,7.247262,0.040452,0.015850,0.168030,0.000000,0.095932,0.001894,0.000000,0.000000,0.000000,0.000000,87.064778,464.115175,121.766566,24.000053,712.272786
0.053326,0.052816,2.467045,0.013199,2.586578,0.192737,7.286514,0.047851,0.011116,0.162011,0.000000,0.093063,0.001956,0.000000,0.000000,0.000000,0.000000,87.031786,464.115285,121.659128,24.000053,712.272786
0.053326,0.052816,2.467045,0.013199,2.586578,0.192737,7.286514,0.047851,0.015857,0.162011,0.000000,0.070794,0.001956,0.000000,0.000000,0.000000,0.000000,87.049314,464.115285,121.659128,24.000053,712.272786
0.053313,0.052792,2.467193,0.013195,2.586603,0.193107,7.251238,0.044050,0.015849,0.162756,0.000000,0.078870,0.001889,0.000000,0.000000,0.000000,0.000000,87.079145,464.115178,121.677028,24.000053,712.272786
0.053305,0.052779,2.467272,0.013193,2.586618,0.192736,7.286342,0.018152,0.015843,0.166917,0.000000,0.092157,0.001875,0.000000,0.000000,0.000000,0.000000,87.052812,464.115104,125.549544,24.000053,712.272786
0.053304,0.052777,2.467285,0.013193,2.586620,0.192736,7.286334,0.031984,0.015843,0.165688,0.000000,0.081897,0.001878,0.000000,0.000000,0.000000,0.000000,87.050462,464.115100,121.725577,24.000053,712.272786
0.053304,0.052778,2.467280,0.013193,2.586619,0.193005,7.260876,0.036658,0.015843,0.164506,0.000000,0.090154,0.001866,0.000000,0.000000,0.000000,0.000000,87.063919,464.115109,121.707441,24.000053,712.272786
0.053305,0.052779,2.467273,0.013193,2.586617,0.193310,7.231933,0.033634,0.015844,0.163163,0.000000,0.083289,0.001853,0.000000,0.000000,0.000000,0.000000,87.103806,464.115119,121.686824,24.000053,712.272786
0.053305,0.052779,2.467273,0.013193,2.586617,0.193310,7.231933,0.041970,0.015844,0.163163,0.000000,0.083289,0.001853,0.000000,0.000000,0.000000,0.000000,87.095470,464.115119,121.686824,24.000053,712.272786
0.053302,0.052773,2.467311,0.013192,2.586624,0.192736,7.286316,0.060635,0.015841,0.166480,0.000000,0.098003,0.001682,0.000000,0.000000,0.000000,0.000000,87.005105,464.115084,121.718329,24.000053,712.272786
0.053300,0.052770,2.467327,0.013192,2.586627,0.193539,7.286304,0.034514,0.015840,0.165530,0.000000,0.082836,0.001869,0.000000,0.000000,0.000000,0.000000,87.046352,464.115071,121.721576,24.000053,712.272786
0.053300,0.052770,2.467329,0.013192,2.586627,0.193015,7.259875,0.032221,0.015840,0.164519,0.000000,0.084855,0.001682,0.000000,0.000000,0.000000,0.000000,87.074775,464.115075,121.705806,24.000053,712.272786
0.053318,0.052824,2.467081,0.013115,2.586607,0.193047,7.253875,0.045748,0.015895,0.162888,0.000000,0.071500,0.001811,0.000000,0.000000,0.000000,0.000000,87.082290,463.988163,121.799514,24.016225,712.272784
0.053199,0.052452,2.537754,0.013263,2.586617,0.192566,7.245385,0.039254,0.015849,0.166925,0.000000,0.091334,0.001897,0.000000,0.000000,0.000000,0.000000,87.003506,462.548374,121.779101,24.035862,712.272782
0.053175,0.052801,2.467140,0.013196,2.586595,0.192781,7.282240,0.038130,0.015851,0.163125,0.000000,0.099738,0.002581,0.000000,0.000000,0.000000,0.000000,87.032648,464.115205,121.719244,24.000053,712.187520
0.053379,0.046326,2.465944,0.012306,2.586640,0.192406,7.283378,0.039907,0.016373,0.164410,0.000000,0.081586,0.001160,0.000000,0.000000,0.000000,0.000000,87.056185,462.696522,123.048511,24.180679,711.939394
0.053304,0.052778,2.467279,0.013193,2.586619,0.193020,8.161137,0.032801,0.015843,0.164437,0.000000,0.082586,0.001865,0.000000,0.000000,0.000000,0.000000,86.175135,464.115109,121.706384,24.000053,711.641438
0.053166,0.052771,2.467321,0.013192,2.586626,0.193013,7.260034,0.030982,0.015841,0.162784,0.000000,0.085695,0.001853,0.000000,0.000000,0.000000,0.000000,87.076722,446.027506,121.706065,24.000053,711.589070
0.053241,0.052834,2.502055,0.013267,2.586631,0.193435,7.271917,0.035246,0.040223,0.165600,0.000000,0.083625,0.001928,0.000000,0.000000,0.000000,0.000000,86.999998,464.206038,121.839829,24.005757,710.441975
0.053374,0.053121,2.466042,0.000000,2.586639,0.192497,7.281037,0.046145,0.016254,0.164264,0.000000,0.080227,0.001080,0.000000,0.000000,0.000000,0.000000,87.059318,460.556431,122.950858,24.167972,710.246097
0.053310,0.052790,2.467204,0.000000,2.586606,0.192898,7.271072,0.040640,0.015848,0.163418,0.000000,0.096706,0.002469,0.000000,0.000000,0.000000,0.000000,87.057040,464.115167,121.692131,24.000053,710.160847
0.053313,0.052793,2.467187,0.090537,2.581619,0.193065,7.254197,0.042679,0.014370,0.173101,0.000000,0.078643,0.002281,0.000000,0.000000,0.000000,0.000000,86.996215,464.115181,121.679726,24.000053,709.711995
0.052596,0.052782,2.467252,0.013193,2.586614,0.192961,7.265096,0.027117,0.015845,0.155462,0.000000,0.083842,0.002622,0.000000,0.000000,0.000000,0.000000,87.084616,464.115128,121.709773,24.000053,709.581868
0.053307,0.052784,2.467245,0.000000,2.590278,0.189764,7.157553,0.035187,0.013525,0.163262,0.000000,0.078355,0.001770,0.000000,0.000000,0.000000,0.000000,87.196970,454.747780,121.553748,24.110299,708.919747
0.053379,0.053145,2.465959,0.012312,2.725744,0.192438,7.280486,0.040179,0.016369,0.164228,0.000000,0.079839,0.001024,0.000000,0.000000,0.000000,0.000000,86.914899,462.706082,123.035882,24.179462,708.894594
0.053306,0.052781,2.467260,0.005451,2.586615,0.192097,7.195492,0.035727,0.014064,0.163938,0.000000,0.087971,0.001808,0.000000,0.000000,0.000000,0.000000,87.143488,469.241430,121.613228,24.000053,708.682087
0.053149,0.057804,2.565890,0.013288,2.586634,0.192901,7.229023,0.037033,0.015054,0.164225,0.000000,0.082452,0.001897,0.000000,0.000000,0.000000,0.000000,87.000650,440.218236,121.743559,23.582379,708.487305
0.054523,0.045692,2.399205,0.011942,2.586629,0.192278,7.390811,0.039458,0.012035,0.162605,0.000000,0.093656,0.001720,0.000000,0.000000,0.000000,0.000000,87.009446,460.040920,123.260021,24.077256,708.448437
0.053314,0.052799,2.467150,0.013196,2.586597,0.192737,7.253807,0.040617,0.015850,0.166986,0.000000,0.097713,0.001897,0.000000,0.000000,0.000000,0.000000,87.057338,464.115189,121.750284,25.768396,708.004176
0.053308,0.052702,2.468685,0.020182,2.586950,0.192701,7.316697,0.042345,0.015850,0.157035,0.000000,0.120004,0.001806,0.000000,0.000000,0.000000,0.000000,86.971732,464.056157,124.165740,24.901428,707.628470
0.053305,0.052780,2.467266,0.007742,2.745037,0.192365,7.214835,0.036002,0.014591,0.164106,0.000000,0.088617,0.001825,0.000000,0.000000,0.000000,0.000000,86.961528,460.094917,121.641101,24.000053,707.398640
0.053319,0.058995,2.467093,0.013197,2.586586,0.183668,6.910858,0.043233,0.015854,0.160959,0.000000,0.100194,0.001935,0.000000,0.000000,0.000000,0.000000,87.404107,403.630552,121.664969,22.451776,707.288199
0.049671,0.053031,2.533042,0.012060,2.586624,0.192572,7.263024,0.040503,0.016196,0.164306,0.000000,0.108450,0.001246,0.000000,0.000000,0.000000,0.000000,86.979274,443.397353,122.575355,23.021177,707.107295
0.052945,0.051685,2.694639,0.013412,2.586656,0.192186,7.154186,0.036592,0.015849,0.164469,0.000000,0.081115,0.001905,0.000000,0.000000,0.000000,0.000000,86.954361,459.066264,121.806958,24.115445,707.060006
0.053305,0.052778,2.402952,0.024466,2.776472,0.192764,7.274436,0.042436,0.012546,0.165877,0.000000,0.082561,0.001740,0.000000,0.000000,0.000000,0.000000,86.917668,445.610417,121.713614,24.172060,706.365237
0.053318,0.030579,2.467101,0.000000,2.586588,0.192737,7.279937,0.041275,0.015854,0.162817,0.000000,0.073534,0.001908,0.000000,0.000000,0.000000,0.000000,87.094353,464.115242,121.685273,23.166328,706.352154
0.053304,0.052778,4.029428,0.013193,2.586619,0.193005,7.260876,0.036658,0.015843,0.164506,0.000000,0.090154,0.001866,0.000000,0.000000,0.000000,0.000000,85.501770,464.115109,121.707441,24.000053,705.953084
0.045155,0.058951,2.590407,0.013524,2.508951,0.192831,7.278432,0.041338,0.017133,0.163865,0.000000,0.092627,0.001716,0.000000,0.000000,0.000000,0.000000,86.995071,463.796602,122.898658,24.034441,705.833573
0.053311,0.052791,3.164504,0.003002,2.586605,0.191748,7.180629,0.037979,0.013505,0.163191,0.000000,0.082876,0.001896,0.000000,0.000000,0.000000,0.000000,86.467962,456.598877,121.572420,24.000053,705.781880
0.053312,0.052795,2.344577,0.013195,2.586601,0.192772,7.286415,0.040186,0.015849,0.167918,0.000000,0.108824,0.001556,0.000000,0.000000,0.000000,0.000000,87.135999,464.115171,121.764550,22.505326,705.473436
0.053324,0.051591,2.276002,0.013200,2.990326,0.192734,7.286484,0.041936,0.014300,0.162058,0.000000,0.093035,0.001950,0.000000,0.000000,0.000000,0.000000,86.823060,463.885540,121.790037,24.000614,705.254414
0.053323,0.052817,2.233985,0.013199,2.586577,0.192737,7.286516,0.041383,0.015858,0.162588,0.000000,0.088797,0.002258,0.000000,0.000000,0.000000,0.000000,87.269963,464.115291,121.658848,23.999197,705.223897
0.053304,0.056576,2.467274,0.012140,2.586619,0.195938,7.286324,0.019701,0.015843,0.166554,0.000000,0.091579,0.001920,0.000000,0.000000,0.000000,0.000000,87.046227,464.115103,125.244103,24.000053,704.848958
