Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.050756,0.056557,2.450227,0.016887,2.595137,0.191072,7.265100,0.117464,0.016471,0.166635,1.204196,0.658056,0.000792,0.191714,0.268303,0.339805,0.066166,84.344663,460.904714,124.146492,24.039070,717.422074
0.050766,0.052891,2.459613,0.018655,2.594827,0.191082,7.252226,0.116557,0.016000,0.166872,1.201538,0.690045,0.000810,0.193199,0.270082,0.304020,0.049541,84.371277,462.445866,124.143137,24.159829,717.422062
0.050756,0.056322,2.480546,0.017570,2.596600,0.191090,7.255937,0.115939,0.013244,0.165877,1.220023,0.679101,0.000881,0.195914,0.301811,0.318994,0.045931,84.293462,460.104665,124.146327,24.221946,717.422056
0.050784,0.053719,2.473801,0.017158,2.596312,0.191071,7.327390,0.115957,0.011250,0.169398,1.204723,0.681785,0.000825,0.194821,0.263532,0.296339,0.056684,84.294450,460.791474,124.111010,24.222624,717.422055
0.050776,0.052737,2.484932,0.017585,2.596807,0.191085,7.252752,0.115675,0.016503,0.166902,1.201744,0.696488,0.000495,0.196198,0.302440,0.289821,0.048686,84.318374,460.728249,124.140020,24.228963,717.422055
0.050776,0.052737,2.484932,0.017585,2.596807,0.191085,7.252752,0.115675,0.016503,0.166902,1.201744,0.696488,0.000487,0.193375,0.302440,0.289821,0.096349,84.273542,460.728249,124.140020,24.228963,717.422055
0.050770,0.052739,2.480277,0.017420,2.596525,0.191065,7.267275,0.107257,0.016501,0.169543,1.202170,0.695369,0.000499,0.196132,0.242042,0.290285,0.048993,84.375140,460.728367,124.103471,24.228981,717.422055
0.050770,0.052739,2.480277,0.017420,2.596525,0.191065,7.267275,0.115666,0.016501,0.166883,1.202170,0.695369,0.000499,0.196132,0.242042,0.290285,0.048993,84.369390,460.728367,124.103471,24.228981,717.422055
0.050770,0.052739,2.480238,0.017419,2.596500,0.192808,7.267226,0.115695,0.016501,0.166883,1.202181,0.695264,0.000500,0.196090,0.233469,0.261147,0.049172,84.405398,460.727853,124.103584,24.229053,717.422055
0.050763,0.052736,2.484029,0.017584,2.596810,0.191082,7.253265,0.115676,0.016500,0.166898,1.200739,0.696224,0.000777,0.196210,0.302350,0.322814,0.042410,84.293133,460.726533,124.144299,24.229150,717.422055
