Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.09,0.16,1.19,0.64,0.00,0.22,0.33,0.27,0.00,84.00,460,129,5.00,686.63
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.16,0.09,0.16,1.19,0.64,0.00,0.22,0.33,0.27,0.00,84.00,460,129,5.00,686.63
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.24,0.16,1.19,0.63,0.00,0.22,0.33,0.27,0.00,83.86,460,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.24,0.16,1.19,0.63,0.00,0.22,0.33,0.27,0.00,83.86,460,129,5.00,686.23
0.00,0.05,2.49,0.00,2.58,0.00,7.82,0.12,0.57,0.16,1.19,0.56,0.00,0.23,0.32,0.20,0.00,83.70,462,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.24,0.16,1.19,0.63,0.00,0.22,0.33,0.27,0.00,83.86,460,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.30,0.16,1.19,0.61,0.00,0.22,0.33,0.26,0.00,83.83,461,129,5.00,686.23
0.00,0.05,2.49,0.00,2.58,0.00,7.82,0.12,0.57,0.17,1.19,0.56,0.00,0.22,0.32,0.23,0.00,83.66,462,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.30,0.16,1.19,0.61,0.00,0.22,0.39,0.26,0.00,83.77,461,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.31,0.16,1.19,0.61,0.00,0.22,0.39,0.25,0.00,83.76,461,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.24,0.16,1.19,0.64,0.00,0.22,0.33,0.27,0.00,83.85,460,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.25,0.16,1.19,0.62,0.00,0.22,0.34,0.27,0.00,83.84,461,129,5.00,686.23
0.00,0.05,2.49,0.00,2.58,0.00,7.82,0.13,0.52,0.17,1.19,0.51,0.00,0.22,0.32,0.24,0.00,83.76,462,129,5.00,686.23
0.00,0.05,2.49,0.00,2.58,0.00,7.82,0.14,0.50,0.17,1.19,0.57,0.00,0.22,0.32,0.22,0.00,83.72,462,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.16,0.24,0.16,1.19,0.63,0.00,0.22,0.33,0.27,0.00,83.85,460,129,5.00,686.23
0.00,0.05,2.49,0.00,2.58,0.00,7.82,0.12,0.57,0.17,1.19,0.56,0.00,0.22,0.32,0.20,0.00,83.70,462,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.26,0.16,1.19,0.62,0.00,0.22,0.33,0.26,0.00,83.85,461,129,5.00,686.23
0.00,0.05,2.50,0.00,2.58,0.00,7.82,0.15,0.30,0.16,1.19,0.61,0.00,0.22,0.33,0.26,0.00,83.83,461,129,5.00,686.23
