Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.05,0.05,2.44,0.01,2.60,0.10,7.71,0.14,0.00,0.16,0.21,0.35,0.00,0.22,0.14,0.32,0.14,85.36,461,124,5.09,690.70
0.05,0.05,2.44,0.01,2.60,0.10,7.71,0.14,0.00,0.16,0.21,0.35,0.00,0.22,0.14,0.32,0.14,85.36,461,124,5.09,690.70
0.05,0.05,2.43,0.01,2.60,0.10,7.72,0.14,0.00,0.16,0.27,0.55,0.00,0.22,0.15,0.30,0.11,85.14,461,124,5.16,690.70
0.05,0.05,2.60,0.01,2.60,0.10,7.69,0.14,0.00,0.16,0.28,0.24,0.00,0.23,0.26,0.30,0.12,85.18,460,126,5.17,690.70
0.05,0.05,2.58,0.01,2.60,0.10,7.69,0.15,0.00,0.16,0.29,0.25,0.00,0.23,0.26,0.29,0.12,85.16,460,126,5.17,690.70
0.05,0.05,2.47,0.01,2.60,0.09,7.71,0.14,0.00,0.16,0.18,0.39,0.00,0.22,0.18,0.25,0.16,85.33,461,124,5.17,690.70
0.05,0.05,2.49,0.01,2.60,0.10,7.68,0.15,0.00,0.15,0.33,0.60,0.00,0.22,0.29,0.42,0.15,84.72,460,124,5.18,690.70
0.05,0.05,2.46,0.01,2.60,0.10,7.68,0.13,0.00,0.15,0.68,0.33,0.00,0.24,0.27,0.29,0.16,84.81,460,122,5.18,690.70
0.05,0.05,2.46,0.01,2.60,0.10,7.68,0.14,0.01,0.15,0.36,0.33,0.00,0.22,0.27,0.29,0.16,85.12,460,122,5.18,690.70
0.05,0.05,2.46,0.01,2.60,0.09,7.68,0.14,0.01,0.15,0.34,0.31,0.00,0.22,0.30,0.29,0.15,85.13,460,123,5.18,690.70
0.05,0.05,2.45,0.01,2.60,0.10,7.68,0.14,0.00,0.16,0.33,0.25,0.00,0.23,0.24,0.29,0.12,85.31,460,129,5.18,690.70
0.05,0.05,2.45,0.01,2.60,0.10,7.68,0.14,0.00,0.16,0.34,0.31,0.00,0.23,0.13,0.27,0.11,85.37,460,127,5.18,690.70
0.05,0.05,2.45,0.01,2.60,0.10,7.71,0.14,0.00,0.16,0.66,0.08,0.00,0.22,0.15,0.29,0.14,85.20,463,124,5.18,690.70
0.05,0.05,2.56,0.01,2.60,0.10,7.68,0.14,0.00,0.16,0.21,0.31,0.00,0.22,0.19,0.32,0.18,85.20,460,127,5.18,690.70
0.05,0.05,2.45,0.01,2.60,0.10,7.68,0.14,0.00,0.16,0.23,0.31,0.00,0.22,0.17,0.30,0.03,85.50,460,128,5.18,690.70
