Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.050094,0.047963,1.471756,0.014282,2.588705,0.190707,7.233196,0.157268,0.014028,0.172019,0.000000,0.149910,0.000590,0.154476,0.530887,0.473267,0.260214,86.490638,460.680308,128.380013,25.172591,713.749719
0.050096,0.048178,1.473085,0.014664,2.588563,0.190835,7.224470,0.157134,0.013886,0.172019,0.000000,0.152761,0.000645,0.162565,0.529493,0.459785,0.253041,86.508780,460.736935,127.535172,25.284608,713.749708
0.050097,0.048012,1.465327,0.014956,2.588473,0.191001,7.217756,0.149350,0.014221,0.171183,0.000000,0.157481,0.000637,0.167200,0.536042,0.454848,0.288104,86.485312,461.807269,126.955057,25.389002,713.749698
0.050099,0.048261,1.470039,0.015327,2.588327,0.191115,7.208983,0.150728,0.013976,0.171343,0.000000,0.182423,0.000658,0.171708,0.580479,0.430349,0.279410,86.446776,461.668626,126.118619,25.496408,713.749687
0.050100,0.048723,1.476453,0.015632,2.588204,0.191160,7.202356,0.156793,0.013524,0.172020,0.000000,0.159986,0.000663,0.183064,0.525961,0.425621,0.234862,86.554876,460.880435,125.394210,25.568476,713.749680
0.050099,0.049863,1.477498,0.018147,2.588173,0.191002,7.247469,0.149101,0.014543,0.172404,0.000000,0.160374,0.000549,0.186313,0.528822,0.417148,0.241126,86.507369,460.796838,122.491312,25.687066,713.749668
0.050099,0.049863,1.477498,0.018147,2.588173,0.191002,7.247469,0.149101,0.014543,0.172404,0.000000,0.160374,0.000707,0.186313,0.528822,0.417148,0.241126,86.507211,460.796838,122.491312,25.687066,713.749668
0.050099,0.049850,1.477778,0.018115,2.588161,0.191017,7.245549,0.140879,0.014503,0.172394,0.000000,0.160609,0.000760,0.186654,0.513918,0.414011,0.369209,86.406493,460.803908,122.493055,25.693762,713.749667
0.050100,0.049840,1.478430,0.018093,2.588153,0.191028,7.252024,0.138471,0.014473,0.170885,0.000000,0.160776,0.000218,0.186550,0.528431,0.412514,0.248892,86.511122,460.809000,122.493886,25.698673,713.749667
0.050100,0.049832,1.478203,0.018068,2.588144,0.191040,7.242641,0.156909,0.014442,0.172379,0.000000,0.160965,0.000839,0.187170,0.528065,0.409258,0.364702,86.387243,460.814620,122.495696,25.703907,713.749666
0.050103,0.049483,1.486415,0.017275,2.587843,0.191426,7.193940,0.154395,0.013406,0.172134,0.000000,0.166888,0.000728,0.203817,0.522760,0.383653,0.262752,86.542983,460.994392,122.532394,25.875760,713.749649
0.050103,0.049483,1.486415,0.017275,2.587843,0.191426,7.193940,0.158000,0.013406,0.172134,0.000000,0.166888,0.000728,0.203817,0.457548,0.383653,0.262752,86.604590,460.994392,122.532394,25.875760,713.749649
0.050103,0.049528,1.480300,0.017164,2.587822,0.191467,7.188514,0.158000,0.013355,0.172100,0.000000,0.167626,0.000756,0.205037,0.473542,0.386903,0.244813,86.612970,461.013394,122.554791,25.890069,713.749648
