Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.01,0.05,2.53,0.02,2.59,0.19,7.27,0.13,0.01,0.17,0.00,0.62,0.00,0.23,0.52,0.19,0.30,85.17,468,107,28.7,714.44
0.01,0.05,2.53,0.02,2.59,0.19,7.27,0.13,0.01,0.17,0.00,0.62,0.00,0.23,0.52,0.19,0.30,85.17,468,107,28.7,714.44
0.01,0.05,2.52,0.02,2.59,0.19,7.27,0.13,0.01,0.17,0.00,0.62,0.00,0.23,0.52,0.19,0.30,85.18,468,107,28.7,714.44
0.01,0.05,2.53,0.02,2.59,0.19,7.27,0.15,0.01,0.17,0.00,0.39,0.00,0.23,0.54,0.19,0.25,85.42,468,107,28.7,714.44
0.01,0.05,2.43,0.02,2.60,0.19,7.27,0.15,0.01,0.17,0.00,0.39,0.00,0.23,0.54,0.19,0.25,85.50,468,107,28.7,714.44
0.01,0.05,2.53,0.02,2.59,0.19,7.24,0.13,0.01,0.17,0.00,0.72,0.00,0.23,0.52,0.19,0.25,85.15,468,107,28.7,714.44
0.01,0.05,2.53,0.02,2.59,0.19,7.27,0.13,0.01,0.17,0.00,0.62,0.00,0.23,0.52,0.19,0.29,85.19,468,107,28.7,714.44
0.01,0.05,2.56,0.02,2.59,0.19,7.69,0.11,0.01,0.17,0.00,0.55,0.00,0.22,0.57,0.20,0.26,84.79,470,107,28.2,714.39
0.01,0.05,2.53,0.02,2.60,0.19,7.52,0.13,0.01,0.17,0.00,0.62,0.00,0.22,0.58,0.20,0.26,84.90,468,107,28.5,714.35
0.01,0.05,2.53,0.02,2.59,0.19,7.03,0.13,0.01,0.17,0.00,0.62,0.00,0.23,0.52,0.19,0.30,85.41,468,107,28.7,714.08
0.01,0.05,2.56,0.02,2.59,0.19,7.65,0.12,0.01,0.17,0.00,0.78,0.00,0.22,0.56,0.21,0.27,84.59,460,107,25.2,714.02
0.01,0.05,2.56,0.02,2.59,0.19,7.65,0.12,0.01,0.17,0.00,0.78,0.00,0.22,0.56,0.21,0.27,84.59,460,107,25.2,714.02
0.01,0.05,2.56,0.02,2.59,0.19,7.64,0.11,0.01,0.17,0.00,0.66,0.00,0.22,0.56,0.21,0.27,84.72,461,107,25.6,714.02
0.01,0.05,2.56,0.02,2.59,0.19,7.64,0.11,0.01,0.17,0.00,0.66,0.00,0.22,0.56,0.21,0.27,84.72,461,107,25.6,714.02
0.01,0.04,2.58,0.02,2.59,0.19,7.64,0.11,0.01,0.17,0.00,0.66,0.00,0.22,0.56,0.24,0.29,84.66,461,107,25.6,714.02
0.01,0.04,2.58,0.02,2.59,0.19,7.64,0.11,0.01,0.17,0.00,0.77,0.00,0.22,0.56,0.34,0.29,84.44,461,107,25.6,714.02
0.01,0.05,2.53,0.02,2.59,0.19,7.64,0.13,0.01,0.17,0.00,0.66,0.00,0.23,0.53,0.11,0.21,84.94,460,107,25.8,714.02
