Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.000000,0.000000,2.486806,0.000018,2.592288,0.001353,7.314844,0.016755,0.051079,0.162622,0.937714,0.000000,0.000212,0.224035,0.417221,0.249069,0.112095,85.433889,461.594784,125.135798,24.099321,705.815073
0.000000,0.000000,2.531738,0.000016,2.592293,0.000000,7.337391,0.010852,0.055101,0.162635,0.975295,0.073626,0.000881,0.222413,0.503391,0.150650,0.005196,85.378521,462.898809,125.908129,24.124651,705.815071
0.000000,0.000000,2.485453,0.000175,2.592292,0.001515,7.330047,0.019691,0.052810,0.162623,0.986089,0.102519,0.000340,0.223224,0.473016,0.159019,0.009927,85.401261,462.793176,124.494635,24.126794,705.815070
0.000000,0.000000,2.519224,0.000035,2.592829,0.000503,7.357939,0.017179,0.057098,0.162797,0.964210,0.127658,0.000994,0.221894,0.438493,0.171892,0.010126,85.357131,462.982915,125.494860,24.149506,705.815068
0.000000,0.000000,2.486121,0.000024,2.592281,0.001565,7.327202,0.001576,0.055380,0.162588,0.939328,0.000000,0.000757,0.226991,0.446305,0.241783,0.002610,85.515489,463.021787,124.840362,24.155541,705.815068
0.000000,0.000000,2.486121,0.000000,2.592281,0.001565,7.327202,0.001576,0.055380,0.162588,0.939328,0.000000,0.000757,0.226991,0.446305,0.241783,0.002610,85.515513,463.021787,124.840362,24.155541,705.815068
0.000000,0.000000,2.486121,0.000024,2.592281,0.001565,7.327202,0.001576,0.055380,0.162588,0.939328,0.000000,0.000757,0.226991,0.446305,0.241783,0.002610,85.515489,463.021787,124.840362,24.155541,705.815068
0.000000,0.000000,2.486137,0.000024,2.592280,0.001556,7.328099,0.016929,0.055382,0.162587,0.939106,0.004029,0.000782,0.226973,0.433093,0.241510,0.003405,85.508109,463.023326,124.879571,24.155566,705.815068
0.000000,0.000000,2.486231,0.000028,2.592273,0.001501,7.333534,0.009511,0.055396,0.162579,0.937761,0.028425,0.000934,0.226860,0.353090,0.239853,0.008220,85.563804,463.032642,125.116991,24.155720,705.815068
0.000000,0.000000,2.475036,0.000000,2.592355,0.001841,7.324533,0.000819,0.055272,0.162744,0.964207,0.000000,0.000801,0.221219,0.419550,0.242359,0.000000,85.539265,462.742362,125.798267,24.155986,705.815068
0.000000,0.000000,2.482018,0.000019,2.592301,0.000904,7.332328,0.000910,0.055357,0.162638,0.902720,0.327183,0.000756,0.224546,0.460464,0.242946,0.102305,85.112605,462.926640,125.210820,24.158134,705.815067
0.000000,0.000000,2.487954,0.000025,2.592275,0.001409,7.333365,0.009348,0.050006,0.162599,0.939908,0.032456,0.000919,0.226496,0.399589,0.240213,0.011641,85.511797,463.015445,125.121816,24.158991,705.815067
0.000000,0.000000,2.449520,0.000000,2.589468,0.000000,7.328659,0.002258,0.057321,0.162403,0.927732,0.154912,0.000767,0.224546,0.405491,0.196258,0.065176,85.435489,462.938179,126.045754,24.162248,705.815067
0.000000,0.000000,2.495553,0.003938,2.592295,0.001457,7.331829,0.024308,0.055013,0.162651,0.954717,0.053664,0.000915,0.224835,0.396330,0.134396,0.001539,85.566560,462.943991,125.175988,24.163003,705.815067
0.000000,0.000000,2.501016,0.000009,2.592329,0.001278,7.330635,0.000569,0.055367,0.162789,0.970960,0.038073,0.000760,0.222489,0.429363,0.265317,0.000000,85.429047,462.819603,125.551510,24.168772,705.815066
0.000000,0.000000,2.533473,0.000020,2.592296,0.000420,7.338141,0.009086,0.055389,0.162792,0.943514,0.187685,0.000752,0.223675,0.457485,0.269924,0.003564,85.221784,462.913019,125.407998,24.169692,705.815066
0.000000,0.000000,2.533473,0.000020,2.592296,0.000420,7.338141,0.009086,0.055389,0.162792,0.943514,0.155012,0.000752,0.223675,0.457485,0.269924,0.003564,85.254456,462.913019,125.407998,24.169692,705.815066
0.000000,0.000000,2.535263,0.000019,2.592297,0.000517,7.337293,0.009069,0.055306,0.162783,0.944953,0.177763,0.000751,0.223512,0.456244,0.260871,0.005494,85.237864,462.907706,125.496728,24.170078,705.815066
0.000000,0.000000,2.590280,0.000009,2.592336,0.001777,7.325561,0.012125,0.055179,0.162707,0.953185,0.034324,0.000850,0.220830,0.449926,0.223221,0.003232,85.374459,462.777442,125.574632,24.170455,705.815066
0.000000,0.000000,2.486963,0.000043,2.592238,0.000000,7.359009,0.017320,0.052670,0.162554,0.934266,0.127227,0.000636,0.224077,0.374200,0.110025,0.013018,85.545753,463.025513,125.124469,24.172528,705.815066
0.000000,0.000000,2.511189,0.000018,2.592301,0.000000,7.329599,0.017239,0.052850,0.162641,0.937924,0.052588,0.000641,0.223155,0.407480,0.275006,0.008853,85.428516,462.897152,125.990559,24.172572,705.815066
0.000000,0.000000,2.485461,0.000021,2.592289,0.001515,7.330913,0.018903,0.052093,0.162620,0.932961,0.058529,0.000573,0.223911,0.413173,0.240934,0.010681,85.475424,462.936091,126.125852,24.173261,705.815066
0.000000,0.000000,2.485461,0.000021,2.592289,0.001515,7.330913,0.001849,0.052093,0.162620,0.932961,0.164586,0.000573,0.223911,0.413173,0.240934,0.000000,85.397102,462.936091,126.125852,24.173261,705.815066
0.000000,0.000000,2.557138,0.000004,2.592316,0.001701,7.326932,0.008869,0.054287,0.162672,0.962527,0.056520,0.000745,0.221522,0.441082,0.150234,0.029081,85.434370,462.842782,126.581057,24.174791,705.815066
0.000000,0.000000,2.575146,0.000000,2.592323,0.001748,7.325932,0.010633,0.054838,0.162685,0.969956,0.029368,0.000789,0.220922,0.448094,0.127446,0.003235,85.476886,462.819338,126.695429,24.175175,705.815066
0.000000,0.000000,2.521259,0.000018,2.592292,0.000000,7.334646,0.007654,0.054834,0.162628,0.968491,0.070289,0.000835,0.223323,0.442821,0.183650,0.034670,85.402589,462.920927,127.920689,24.178726,705.815065
0.000000,0.000000,2.486898,0.000042,2.592247,0.000359,7.362322,0.016865,0.052048,0.162560,0.937484,0.124925,0.000617,0.224052,0.375327,0.141596,0.059870,85.462788,463.020620,125.135952,24.194043,705.815064
0.000000,0.000000,2.483195,0.000363,2.592301,0.003391,7.379430,0.002832,0.052667,0.162779,0.942789,0.349340,0.000583,0.222358,0.416382,0.238262,0.001013,85.152315,462.866269,126.136207,24.174068,705.691042
0.000000,0.000000,2.483182,0.000020,2.592295,0.001091,7.330873,0.001099,0.047590,0.160661,0.913105,0.533189,0.000756,0.225240,0.456447,0.373948,0.074022,84.806480,462.953632,125.105725,24.157398,705.412724
0.000000,0.000000,2.486172,0.000026,2.592277,0.001535,7.330123,0.010625,0.034760,0.162584,1.056445,0.013113,0.000839,0.233260,0.457962,0.240893,0.005198,85.374190,463.026795,124.967977,24.155624,705.266484
0.000000,0.000000,2.486231,0.000028,2.592273,0.001501,7.982016,0.009511,0.055396,0.162579,0.937761,0.028425,0.000934,0.226860,0.353090,0.307876,0.008220,84.847299,463.032642,125.116991,24.155720,705.013981
0.000000,0.000000,2.511189,0.000018,2.592301,0.000000,7.329599,0.017239,0.052850,0.162641,0.937924,0.052588,0.000641,0.203957,0.407480,0.275006,0.008853,85.447713,462.897152,125.990559,24.172572,704.940493
0.000000,0.000000,2.551698,0.000023,2.592604,0.000000,7.724009,0.014869,0.094194,0.162756,0.959171,0.085002,0.000928,0.221408,0.443718,0.195350,0.006975,84.947295,462.889010,125.531317,24.159080,704.320743
0.000000,0.000000,2.531775,0.001624,2.592307,0.001601,7.328949,0.015227,0.116279,0.162663,0.959310,0.055344,0.000815,0.222887,0.422651,0.143712,0.017738,85.427117,462.884464,126.002397,24.169936,703.884097
0.000000,0.000000,2.502767,0.000022,2.592286,0.001162,7.331047,0.004216,0.273546,0.162660,0.940800,0.065979,0.000737,0.233452,0.450235,0.251676,0.002945,85.186469,462.983551,125.039909,24.160516,703.826542
0.000000,0.000000,2.501598,0.000009,2.592476,0.001191,7.559838,0.008695,0.043652,0.162391,1.000783,0.044707,0.001407,0.182643,0.522030,0.225158,0.013303,85.140120,460.490784,126.501131,24.334876,703.587266
0.000000,0.000000,2.493173,0.000187,2.592295,0.001914,7.647631,0.020074,0.048440,0.167157,0.766466,0.220806,0.000510,0.202824,0.450578,0.216819,0.017106,85.154021,461.337195,125.013494,24.226777,703.230893
0.000000,0.000000,2.441201,0.000000,2.592555,0.000000,7.017776,0.019694,0.039352,0.162324,0.710598,0.000000,0.000752,0.166989,0.549792,0.228554,0.002454,86.067959,461.317339,124.315704,24.389953,703.220623
