Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.000000,0.000000,2.497569,0.004810,2.596384,0.000000,7.300358,0.000000,0.054324,0.166033,0.000000,0.000000,0.000522,0.237602,0.000000,0.000000,0.000000,87.142397,461.618710,122.805102,24.003147,705.072529
0.000000,0.000000,2.497569,0.004696,2.596384,0.000000,7.299622,0.000000,0.057886,0.161876,0.000000,0.000000,0.000523,0.237599,0.000000,0.000000,0.000000,87.143845,461.618696,122.803485,24.003161,705.072529
0.000000,0.000000,2.497571,0.004755,2.596384,0.000000,7.297990,0.000000,0.054348,0.166032,0.000000,0.000000,0.000532,0.237411,0.000000,0.000000,0.000000,87.144976,461.620218,122.797305,24.003206,705.072529
0.000000,0.000000,2.497568,0.003649,2.596384,0.000000,7.292075,0.000000,0.054327,0.166032,0.000000,0.000000,0.000531,0.237503,0.000000,0.000000,0.000000,87.151932,461.619180,122.785867,24.003303,705.072529
0.000000,0.000000,2.497568,0.003649,2.596384,0.000000,7.292075,0.000000,0.054327,0.166032,0.000000,0.000000,0.000531,0.237503,0.000000,0.000000,0.000000,87.151932,461.619180,122.785867,24.003303,705.072529
0.000000,0.000000,2.497564,0.004440,2.596383,0.000000,7.283453,0.000000,0.054738,0.165500,0.000000,0.000000,0.000487,0.237724,0.000000,0.000000,0.000000,87.159711,461.616923,122.770437,24.003438,705.072529
0.000000,0.000000,2.497564,0.004403,2.596383,0.000000,7.281085,0.000000,0.054277,0.166031,0.000000,0.000000,0.000482,0.237742,0.000000,0.000000,0.000000,87.162034,461.616663,122.765597,24.003479,705.072529
0.000000,0.000000,2.497547,0.003274,2.596382,0.000000,7.308886,0.000000,0.054271,0.166030,0.000000,0.000000,0.000525,0.237793,0.000000,0.000000,0.000000,87.135292,461.614781,122.756049,24.003516,705.072529
0.000000,0.000000,2.497545,0.004224,2.596382,0.000000,7.308642,0.000000,0.054278,0.169589,0.000000,0.000000,0.000532,0.239494,0.000000,0.000000,0.000000,87.129314,461.615157,122.743879,24.003607,705.072529
0.000000,0.000000,2.497541,0.004131,2.596382,0.000000,7.389250,0.000000,0.056373,0.163560,0.000000,0.000000,0.000311,0.237843,0.000000,0.000000,0.000000,87.054610,461.613707,122.741788,24.003623,705.072529
