Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.011224,0.043206,2.518311,0.011008,2.597870,0.190836,7.134473,0.100000,0.017173,0.084024,0.000000,0.164496,0.000659,0.000000,0.000000,0.203828,0.071461,86.851431,469.097059,103.514097,24.020761,699.612444
0.011224,0.043206,2.518311,0.011008,2.597870,0.190836,7.134473,0.100000,0.017173,0.084024,0.000000,0.164496,0.000659,0.000000,0.000000,0.203828,0.071461,86.851431,469.097059,103.514097,24.020761,699.612444
0.011221,0.043678,2.486287,0.013886,2.594704,0.191299,7.339662,0.100000,0.017349,0.086197,0.000000,0.142206,0.001888,0.000000,0.000000,0.253593,0.071864,86.646164,469.100348,106.182619,24.007277,699.364643
0.011221,0.043677,2.487016,0.013899,2.594720,0.191297,7.339332,0.100000,0.017349,0.086168,0.000000,0.145616,0.001886,0.000000,0.000000,0.253615,0.061866,86.652339,469.100099,106.182799,24.007579,699.364643
0.011221,0.043677,2.487016,0.013899,2.594720,0.191297,7.339332,0.100000,0.017349,0.086168,0.000000,0.135471,0.001886,0.000000,0.000000,0.253615,0.078556,86.645794,469.100099,106.182799,24.007579,699.364643
0.011221,0.043664,2.487891,0.013950,2.594807,0.191285,7.337616,0.100000,0.017344,0.086109,0.000000,0.145863,0.001885,0.000000,0.000000,0.250964,0.062132,86.655271,469.102299,106.183736,24.007945,699.364643
0.011221,0.043664,2.487891,0.013950,2.594807,0.191285,7.337616,0.100000,0.017344,0.086109,0.000000,0.145863,0.001885,0.000000,0.000000,0.250964,0.062132,86.655271,469.102299,106.183736,24.007945,699.364643
0.011223,0.043672,2.487795,0.013941,2.594779,0.191294,7.337830,0.100000,0.014827,0.085894,0.000000,0.136773,0.001859,0.000000,0.000000,0.252761,0.016587,86.710765,469.082987,106.183331,24.007970,699.364643
0.011210,0.043664,2.487948,0.014002,2.594867,0.191277,7.323933,0.100000,0.015219,0.085644,0.000000,0.149927,0.001842,0.000000,0.000000,0.251439,0.023327,86.705700,469.057573,106.184116,24.008536,699.364643
0.011194,0.043658,2.487821,0.014054,2.594940,0.191260,7.333762,0.100000,0.017295,0.085537,0.000000,0.154499,0.001785,0.000000,0.000000,0.149700,0.110538,86.703958,468.945475,106.184774,24.009006,699.364643
0.011230,0.043655,2.489985,0.014084,2.594983,0.191283,7.332619,0.100000,0.016643,0.085902,0.000000,0.175888,0.001845,0.000000,0.000000,0.249714,0.059964,86.632204,469.022232,107.748330,24.009241,699.364643
0.011230,0.043653,2.490363,0.014095,2.594999,0.191283,7.332204,0.100000,0.017354,0.084846,0.000000,0.142629,0.001849,0.000000,0.000000,0.249429,0.042886,86.683181,469.016671,106.185284,24.009298,699.364643
0.011228,0.043643,2.490697,0.013962,2.595045,0.191270,7.325940,0.100000,0.017196,0.085232,0.000000,0.146161,0.001819,0.000000,0.000000,0.249106,0.048953,86.679747,469.033859,106.100762,24.009333,699.364643
0.011225,0.043649,2.491104,0.014115,2.595070,0.191275,7.199550,0.100000,0.017349,0.085896,0.000000,0.145874,0.001840,0.000000,0.000000,0.288403,0.082713,86.731936,469.006204,106.185942,24.009411,699.364643
0.011232,0.043648,2.490843,0.014140,2.595063,0.191279,7.330578,0.100000,0.017355,0.085905,0.000000,0.150013,0.001840,0.000000,0.000000,0.248521,0.076958,86.642625,468.998429,106.185865,24.009739,699.364643
0.011230,0.043634,2.491547,0.013964,2.595121,0.191264,7.323829,0.100000,0.017346,0.084811,0.000000,0.143555,0.001798,0.000000,0.000000,0.247497,0.044097,86.690307,469.020075,106.072154,24.009784,699.364643
0.011230,0.043633,2.491795,0.013981,2.595142,0.191262,7.321945,0.100000,0.017150,0.084953,0.000000,0.146324,0.001800,0.000000,0.000000,0.247760,0.045100,86.687925,469.014094,106.076284,24.009856,699.364643
0.011104,0.043639,2.484536,0.014139,2.595146,0.191174,7.327117,0.100000,0.017138,0.085557,0.000000,0.190018,0.001752,0.000000,0.000000,0.246907,0.064698,86.627075,468.985503,106.155981,24.010184,699.364643
0.011058,0.043640,2.481967,0.014203,2.595156,0.191141,7.328322,0.100000,0.017062,0.085830,0.000000,0.182480,0.001735,0.000000,0.000000,0.246691,0.072247,86.628468,468.972835,106.186698,24.010331,699.364643
0.011203,0.043575,2.493605,0.013558,2.595477,0.191185,7.299162,0.100000,0.013611,0.085313,0.000000,0.147619,0.001700,0.000000,0.000000,0.241106,0.063190,86.699696,469.050138,105.731353,24.011153,699.364643
0.011141,0.043627,2.488721,0.014312,2.595308,0.191191,7.324445,0.100000,0.017194,0.084383,0.000000,0.165230,0.001756,0.000000,0.000000,0.244778,0.057305,86.660608,468.929470,106.188071,24.011390,699.364643
0.011217,0.043604,2.497602,0.014409,2.595652,0.191228,7.276374,0.100000,0.012256,0.083291,0.000000,0.135988,0.001847,0.000000,0.000000,0.254694,0.030139,86.751700,468.873561,106.191196,24.011457,699.364643
0.011147,0.043626,2.489209,0.014320,2.595319,0.191195,7.324165,0.100000,0.017203,0.084449,0.000000,0.164848,0.001976,0.000000,0.000000,0.200868,0.058133,86.703542,468.679076,106.188175,24.011464,699.364643
0.011210,0.043411,2.504450,0.012392,2.596538,0.191029,7.225073,0.100000,0.017229,0.084712,0.000000,0.159951,0.001171,0.000000,0.000000,0.179220,0.089226,86.784388,469.028147,104.728225,24.015417,699.364642
0.011225,0.043635,2.395055,0.014213,2.595245,0.191262,7.311148,0.100000,0.015431,0.100000,0.000000,0.140124,0.001848,0.000000,0.000000,0.251414,0.038079,86.791320,468.962698,106.187514,24.010112,695.394489
0.011100,0.043640,2.484165,0.001600,2.595141,0.191172,7.476780,0.100000,0.007340,0.092837,0.000000,0.182117,0.001755,0.000000,0.000000,0.247002,0.022213,86.543138,468.981558,109.033809,24.010196,692.696552
0.011226,0.043665,2.488653,0.013997,3.024269,0.191290,7.335789,0.100000,0.015538,0.100000,0.000000,0.131716,0.001854,0.000000,0.000000,0.253516,0.033581,86.254908,468.253381,106.184045,23.646063,692.551019
0.010745,0.030050,2.447466,0.101270,2.595498,0.191182,7.332992,0.097884,0.017127,0.094071,0.000000,0.075128,0.000960,0.000000,0.000000,0.255419,0.043427,86.706782,460.417189,105.712720,24.011189,689.670246
0.000000,0.042467,2.496410,0.010114,2.522689,0.190865,7.149291,0.100000,0.017176,0.084070,0.000000,0.163808,0.000180,0.000000,0.000000,0.207092,0.071644,86.944195,469.093454,103.908833,24.019993,688.240069
0.011223,0.043667,2.488114,0.013918,2.594817,0.191289,7.888595,0.093933,0.017303,0.085889,0.000000,0.185689,0.001866,0.000000,0.000000,0.252270,0.058013,86.073415,472.374972,106.158321,24.008103,687.939533
0.011210,0.043610,2.491069,0.012295,2.919161,0.191223,7.930580,0.099539,0.017243,0.085646,0.000000,0.144186,0.001694,0.000000,0.000000,0.165644,0.115872,85.771027,464.379925,105.844743,24.009750,687.820392
0.011195,0.043867,2.489712,0.012487,2.597305,0.190930,7.295146,0.099235,0.084756,0.084379,0.000000,0.160798,0.000881,0.000000,0.000000,0.227892,0.065281,86.636135,463.927543,104.007424,24.055691,687.714553
0.011101,0.036396,2.492242,0.022639,2.597631,0.184767,7.316452,0.100000,0.000000,0.084314,0.000000,0.147865,0.001422,0.000000,0.000000,0.235022,0.046776,86.723372,470.804585,105.979940,24.538521,687.679165
0.011202,0.043692,2.497282,0.012096,2.597454,0.190905,7.252614,0.097066,0.066866,0.084285,0.000000,0.179741,0.000822,0.000000,0.000000,0.221522,0.118026,86.626424,468.793782,103.876836,28.135433,687.118808
0.007908,0.043600,2.491274,0.005242,2.599254,0.191540,7.185078,0.100000,0.048599,0.092682,0.000000,0.153872,0.001871,0.000000,0.000000,0.264622,0.095197,86.719260,464.951027,105.869718,23.169261,686.867046
0.011158,0.056952,2.484650,0.000000,2.597784,0.191190,8.261547,0.099955,0.016250,0.078722,0.000000,0.160546,0.001666,0.000000,0.000000,0.243823,0.058906,85.736851,453.356015,106.067415,24.005707,686.791889
0.011194,0.042800,1.760455,0.006381,2.594998,0.191275,7.467863,0.089789,0.017335,0.092211,0.000000,0.135896,0.002147,0.000000,0.000000,0.296022,0.177173,87.114461,468.490471,106.155222,24.008945,685.730060
0.000000,0.043579,2.495170,0.012202,2.595490,0.191208,7.298083,0.098723,0.017153,0.085002,0.000000,0.148637,0.001571,0.000000,0.000000,0.242168,0.042253,86.728763,469.024654,105.750158,24.011244,685.655597
0.011225,0.043553,2.651924,0.000000,2.591606,0.185091,7.141667,0.093536,0.016767,0.085773,0.000000,0.129230,0.002039,0.000000,0.000000,0.279720,0.134798,86.633071,469.042029,106.184564,24.008690,685.244892
0.000000,0.022525,2.537422,0.011851,2.445489,0.180005,7.223663,0.100000,0.017205,0.080065,0.000000,0.155445,0.001206,0.000000,0.000000,0.232956,0.063373,86.928796,463.488683,109.754626,24.015208,685.166583
0.009928,0.043637,2.486780,0.014101,2.991021,0.191202,7.281769,0.100000,0.003237,0.094480,0.000000,0.175771,0.001772,0.000000,0.000000,0.245510,0.064698,86.296093,468.209011,106.421936,24.309354,683.824635
0.011002,0.043629,2.552345,0.022307,2.596239,0.077264,7.325745,0.100000,0.011687,0.081164,0.000000,0.156236,0.001761,0.000000,0.000000,0.208491,0.079334,86.732796,464.200212,111.015126,26.959426,683.108855
0.011209,0.043646,2.289742,0.014140,2.470418,0.183543,7.329939,0.100000,0.017315,0.087018,0.000000,0.157394,0.001824,0.000000,0.000000,0.248223,0.074696,86.970894,468.996044,106.180351,20.455279,682.810616
0.011227,0.025645,2.930164,0.003441,3.409029,0.191092,7.301646,0.098917,0.015540,0.083689,0.000000,0.147847,0.001903,0.000000,0.000000,0.273208,0.109190,85.397462,453.332339,105.862953,24.011651,682.450275
0.011231,0.020012,3.065852,0.000000,3.640000,0.191049,7.309574,0.098578,0.016570,0.085528,0.000000,0.151567,0.001920,0.000000,0.000000,0.279016,0.133987,84.995118,448.457277,105.759987,24.011712,682.450275
0.000000,0.043665,3.247611,0.013907,2.247131,0.191283,7.281722,0.100000,0.017324,0.084494,0.000000,0.138619,0.001862,0.000000,0.000000,0.250121,0.073016,86.309246,468.144043,106.149038,24.365711,681.999617
0.011182,0.043342,2.490373,0.024212,3.472249,0.191158,7.872272,0.099595,0.000000,0.085790,0.000000,0.138720,0.001719,0.000000,0.000000,0.145583,0.111738,85.312068,464.960683,105.884888,24.003390,681.946552
0.010636,0.042381,2.471340,0.013844,2.401260,0.191011,7.603454,0.099725,0.017586,0.074290,0.000000,0.161992,0.001253,0.000000,0.000000,0.208752,0.061000,86.641476,427.599009,104.770744,26.730903,681.686331
0.000000,0.043217,2.517585,0.011073,2.597798,0.190847,6.507967,0.100000,0.017177,0.089339,0.000000,0.163991,0.000687,0.000000,0.000000,0.204956,0.020065,87.535299,469.097133,103.574563,24.020455,681.448321
0.010545,0.043639,2.053476,0.014182,2.681324,0.191147,7.339255,0.094551,0.000000,0.085776,0.000000,0.180179,0.002613,0.000000,0.000000,0.210526,0.000000,87.092787,468.638168,106.174221,24.116514,681.349800
0.010883,0.065151,2.475683,0.014106,2.598553,0.191192,8.570154,0.099765,0.017400,0.076563,0.000000,0.164711,0.001559,0.000000,0.000000,0.242789,0.058765,85.412727,453.736320,106.167455,24.266991,681.321526
0.008286,0.032446,2.488993,0.019581,2.595319,0.191191,7.503559,0.096155,0.000000,0.084421,0.000000,0.163107,0.001918,0.000000,0.000000,0.234272,0.056749,86.524003,468.789782,106.170791,24.011411,681.286823
0.011003,0.043557,2.146158,0.155403,2.742399,0.191146,7.496283,0.099585,0.017168,0.085201,0.000000,0.150660,0.001528,0.000000,0.000000,0.178346,0.099043,86.582522,459.029866,105.440006,24.992273,680.803448
0.011200,0.040066,2.503283,0.007447,2.595352,0.204958,7.284844,0.100000,0.048324,0.082338,0.000000,0.162288,0.001293,0.000000,0.000000,0.215984,0.058195,86.684429,469.379760,104.969710,24.649927,680.470414
0.011227,0.043547,2.652987,0.005615,2.591664,0.185074,6.762692,0.093521,0.017351,0.085775,0.000000,0.132251,0.002627,0.000000,0.000000,0.278807,0.148911,86.987949,469.022539,106.185148,24.876783,680.154473
0.011208,0.000000,2.501682,0.012669,2.596272,0.149275,7.243162,0.089976,0.017240,0.084849,0.000000,0.177180,0.001273,0.000000,0.000000,0.174307,0.092773,86.848133,469.014387,104.970645,27.227616,679.661196
0.010752,0.000000,1.712137,0.044419,2.595704,0.191028,7.293801,0.099988,0.030223,0.075253,0.000000,0.149733,0.001565,0.000000,0.000000,0.181298,0.040446,87.573654,459.941821,105.632332,28.409768,678.871771
0.011098,0.098274,2.492299,0.029784,2.597699,0.191196,8.559727,0.100000,0.000000,0.083666,0.000000,0.146944,0.001694,0.000000,0.000000,0.230180,0.040150,85.417291,468.079623,106.746747,26.473707,678.628984
0.005686,0.043616,2.487810,0.058414,2.593015,0.178221,7.435372,0.093193,0.020389,0.083135,0.000000,0.142464,0.001486,0.000000,0.000000,0.203614,0.114316,86.539269,462.991424,106.135480,22.962163,677.849733
