Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.054432,0.054678,2.464029,0.013418,2.594010,0.193098,7.218825,0.008191,0.011127,0.163468,1.194591,0.236885,0.000235,0.235390,0.406693,0.289842,0.127351,84.733737,460.865514,124.016727,24.000000,714.227131
0.042854,0.055009,2.461302,0.013369,2.593945,0.194407,7.205811,0.001069,0.011125,0.161474,1.185718,0.267303,0.000013,0.224221,0.313751,0.302989,0.100979,84.864662,460.157979,124.032878,24.000000,713.378071
0.042727,0.051533,2.461360,0.013457,2.594037,0.194329,7.212262,0.000000,0.011181,0.162282,1.183884,0.227704,0.000017,0.226980,0.313688,0.336811,0.101143,84.866605,460.047155,124.032315,24.000000,713.378071
0.042854,0.051651,2.461302,0.013369,2.593945,0.194407,7.205811,0.001069,0.011125,0.162262,1.185718,0.227340,0.000013,0.226948,0.313751,0.336981,0.100979,84.870475,460.157979,124.032878,24.000000,713.378071
0.042852,0.054947,2.461297,0.013369,2.593949,0.194395,7.205948,0.001109,0.011125,0.161514,1.185797,0.265997,0.000010,0.223965,0.202546,0.328590,0.092241,84.960351,460.159021,124.030757,24.000000,713.378071
0.042727,0.051533,2.461360,0.013457,2.594037,0.194329,7.212262,0.000000,0.011181,0.162282,1.183884,0.227704,0.000017,0.226980,0.313688,0.303669,0.101143,84.899747,460.047155,124.032315,24.000000,713.378071
0.042853,0.052634,2.461301,0.013369,2.593946,0.194403,7.205851,0.001081,0.011125,0.162039,1.185741,0.238873,0.000012,0.237879,0.280575,0.334478,0.098372,84.885467,460.158290,124.032245,24.000000,713.378071
0.042848,0.054895,2.461124,0.012830,2.590821,0.194399,7.200175,0.001671,0.011224,0.161783,1.184678,0.264027,0.000013,0.222167,0.313091,0.318848,0.100382,84.865025,460.197567,124.033531,24.000000,713.378071
0.042815,0.052750,2.585597,0.013380,2.594009,0.194099,7.206341,0.001341,0.011125,0.162457,1.187787,0.224324,0.000051,0.224348,0.303695,0.325521,0.103811,84.766549,460.205186,124.027176,24.000000,713.378071
0.042848,0.051777,2.461310,0.013368,2.593995,0.194406,7.208912,0.001872,0.011122,0.162992,1.185755,0.175081,0.000010,0.224019,0.274090,0.340579,0.100300,84.957563,460.138783,124.011340,24.000000,713.378071
0.042815,0.052750,2.585597,0.013380,2.594009,0.194099,7.206341,0.001341,0.011125,0.162457,1.187787,0.173003,0.000051,0.224348,0.303695,0.325521,0.103811,84.817871,461.758803,124.027176,24.000000,713.378071
0.042749,0.052117,2.461350,0.013442,2.594021,0.194342,7.211178,0.000180,0.011171,0.162146,1.184192,0.234358,0.000016,0.226516,0.360692,0.331127,0.101115,84.819286,460.065778,124.032410,24.000000,713.378071
0.042690,0.054950,2.463016,0.013424,2.594018,0.192926,7.220557,0.005088,0.011128,0.163654,1.195753,0.237350,0.000264,0.235207,0.308782,0.283963,0.124481,84.852747,460.472646,124.014704,24.000000,713.378071
0.042690,0.054950,2.463016,0.013424,2.594018,0.192926,7.220557,0.005088,0.011128,0.163654,1.195753,0.237350,0.000264,0.235207,0.308782,0.283963,0.124481,84.852747,460.472646,124.014704,24.000000,713.378071
0.042844,0.051847,2.461337,0.013111,2.593996,0.194661,7.209117,0.002089,0.011122,0.163007,1.185969,0.196234,0.000016,0.223825,0.276050,0.337336,0.100793,84.936645,460.145535,124.011328,24.000000,713.378071
0.042727,0.051533,2.461360,0.013457,2.594037,0.194329,7.212262,0.000000,0.011181,0.162282,1.183884,0.227704,0.000017,0.226980,0.313688,0.336811,0.101143,84.866605,460.047155,124.032315,24.000000,713.378071
0.042713,0.054696,2.462601,0.013220,2.592855,0.193223,7.215858,0.000000,0.011167,0.163372,1.193186,0.156633,0.000213,0.228036,0.314341,0.277395,0.119436,84.961055,460.415360,124.018648,24.000000,713.378071
0.042754,0.052278,2.461337,0.013407,2.593835,0.194345,7.210539,0.000266,0.011174,0.162125,1.184220,0.244660,0.000000,0.226264,0.357928,0.330414,0.101073,84.813379,460.073429,124.032475,24.000000,713.378071
0.042727,0.051533,2.461360,0.013457,2.594037,0.194329,7.212262,0.000000,0.011181,0.162282,1.183884,0.227704,0.000017,0.226980,0.313688,0.336811,0.101143,84.866605,460.047155,124.872590,24.000000,713.378071
0.042749,0.052117,2.461350,0.013442,2.594021,0.194342,7.211178,0.000180,0.011171,0.162146,1.184192,0.234358,0.000016,0.226516,0.360692,0.331127,0.101115,84.819286,460.065778,124.032410,24.000000,713.378071
0.042770,0.052058,2.461347,0.013368,2.594014,0.194396,7.211161,0.000000,0.011160,0.162339,1.184591,0.225383,0.000017,0.225912,0.378788,0.332577,0.101061,84.809059,460.000004,124.028467,24.000000,713.378071
0.042835,0.054794,2.502603,0.024355,2.595534,0.192706,7.190893,0.000000,0.011083,0.161727,1.185278,0.196365,0.000014,0.223225,0.454035,0.305854,0.098985,84.759713,460.138564,124.033548,24.000000,711.339497
0.042389,0.054465,2.461468,0.008184,2.592271,0.193994,7.206430,0.004039,0.000000,0.162312,1.111187,0.256281,0.000433,0.210920,0.300426,0.399669,0.258837,84.736695,440.815346,124.022004,24.000000,710.612080
0.012539,0.053308,2.462070,0.018022,2.593887,0.192883,7.239308,0.012125,0.000000,0.163180,1.190123,0.194062,0.000146,0.229073,0.296923,0.316431,0.115428,84.910493,455.590518,124.058791,24.000000,710.528279
0.042730,0.053764,2.463664,0.016081,2.591718,0.193352,7.221137,0.003812,0.017689,0.161996,1.187967,0.235545,0.000181,0.230886,0.302166,0.299442,0.122698,84.855171,458.985984,124.025840,22.000000,710.066382
0.042704,0.052134,2.430500,0.013439,2.773268,0.194410,7.211462,0.000172,0.011131,0.162160,1.196611,0.232937,0.000017,0.225472,0.358113,0.335607,0.101701,84.658162,460.084333,123.505176,24.000000,710.010335
0.040282,0.051329,2.437656,0.013478,3.066133,0.194397,7.209358,0.000000,0.011571,0.163248,1.089378,0.177700,0.000421,0.223586,0.274383,0.338822,0.104827,84.603432,460.126385,124.066592,24.000000,709.779805
0.042678,0.052975,2.158877,0.013706,2.587385,0.190719,7.187500,0.001276,0.016014,0.162319,1.181924,0.290214,0.000049,0.224495,0.303992,0.326624,0.104012,85.155240,461.723760,123.905174,29.000000,709.364144
0.042828,0.052153,2.461480,0.012277,3.011076,0.193706,7.225912,0.007042,0.000000,0.162988,1.075052,0.171784,0.000049,0.225210,0.281808,0.336232,0.044437,84.695966,457.217644,124.040569,27.000000,709.219996
0.050320,0.054462,2.463291,0.071014,2.593861,0.194148,7.120852,0.005289,0.000000,0.217594,1.192934,0.216516,0.000179,0.231609,0.375380,0.301588,0.119043,84.791919,455.750927,124.067197,25.000000,708.917644
0.030305,0.052452,2.461640,0.015143,2.593951,0.193925,7.221608,0.007430,0.136911,0.163079,1.187688,0.195336,0.000070,0.225996,0.284686,0.328686,0.106848,84.794245,458.260866,124.030966,24.000000,708.024495
0.054432,0.054678,2.464029,0.013418,2.594010,0.193098,7.218825,0.011556,0.011127,0.163468,1.194591,0.236885,0.000710,0.235390,0.474805,0.289842,0.127351,84.661786,460.865514,124.016727,37.000000,707.535280
0.037766,0.000000,2.445399,0.012635,2.563092,0.192789,8.200728,0.000486,0.011097,0.160975,1.228483,0.355732,0.000406,0.227032,0.331132,0.377844,0.095499,83.758906,459.404678,121.747981,24.000000,707.523823
0.042825,0.063252,2.528687,0.013154,2.593917,0.193789,7.227571,0.002280,0.011128,0.162995,1.186843,0.186398,0.000055,0.225127,0.283773,0.333779,0.103913,84.840515,456.944755,124.043304,24.000000,707.055928
0.042830,0.052948,2.461255,0.061658,2.592783,0.191848,7.274626,0.001530,0.011169,0.153565,1.125067,0.151623,0.000071,0.223962,0.281436,0.339338,0.049317,84.984973,438.182363,124.141945,25.000000,707.026775
0.039335,0.004007,2.450786,0.061539,2.585933,0.194252,7.197821,0.000033,0.000000,0.162366,1.183435,0.238931,0.000009,0.207271,0.276377,0.329859,0.102970,84.965075,453.505812,123.989286,24.000000,706.048237
0.042814,0.047883,2.119600,0.100302,2.593791,0.184396,7.067649,0.000292,0.004675,0.167346,1.187614,0.203458,0.000040,0.225705,0.263806,0.328845,0.075037,85.386745,451.447551,121.624380,26.000000,705.398074
0.042791,0.053304,2.461253,0.013181,2.592653,0.194366,7.381608,0.000817,0.011194,0.144882,1.184400,0.252255,0.000005,0.224657,0.340344,0.325878,0.100802,84.675609,460.122114,124.032889,24.000000,705.372639
0.042842,0.054678,2.461306,0.013373,2.593931,0.110755,7.206383,0.016767,0.000000,0.161553,1.216038,0.264564,0.000012,0.220906,0.189391,0.306307,0.100990,85.040204,460.147752,124.032829,24.000000,704.874837
0.042802,0.052087,2.461337,0.085432,2.728604,0.194477,7.209573,0.000000,0.011145,0.195092,1.185125,0.219932,0.000015,0.227134,0.315313,0.334082,0.105983,84.631867,460.111058,124.024038,24.000000,704.580220
0.041849,0.052042,2.461009,0.013524,2.594447,0.194266,7.210347,0.004059,0.000000,0.148783,1.184449,0.241423,0.000016,0.226530,0.352070,0.332152,0.104320,84.838715,423.121584,124.017462,28.000000,704.218309
0.042746,0.051652,3.090705,0.013794,2.594041,0.189828,7.211504,0.000187,0.011211,0.161981,1.246312,0.201074,0.000017,0.226292,0.360589,0.339544,0.096931,84.161593,460.110386,124.032390,24.000000,703.617085
