Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred,Target_UTS,AbsError
0.000000,0.000000,6.617851,0.000000,2.609612,0.000000,6.005311,0.000000,0.040188,0.089263,0.000000,0.000000,0.000000,0.191956,0.000000,0.000000,0.000000,84.445819,442.692526,134.309288,9.264340,599.997253,600.000000,0.002747
0.000000,0.000000,6.617851,0.000000,2.609612,0.000000,6.005311,0.000000,0.040188,0.089263,0.000000,0.000000,0.000000,0.191956,0.000000,0.000000,0.000000,84.445819,442.692526,134.309288,9.264340,599.997253,600.000000,0.002747
0.000000,0.000000,6.617851,0.000000,2.609612,0.000000,6.005311,0.000000,0.034952,0.089263,0.000000,0.000000,0.000000,0.204211,0.000000,0.000000,0.000000,84.438799,442.692526,134.309288,9.264340,599.997253,600.000000,0.002747
0.000000,0.000000,6.769967,0.000000,2.593818,0.000000,5.945252,0.000000,0.048192,0.113374,0.000000,0.000000,0.000000,0.143839,0.000000,0.000000,0.000000,84.385557,428.370505,116.917284,9.001180,599.997192,600.000000,0.002808
0.000000,0.000000,6.753298,0.000000,2.593689,0.000000,5.945581,0.000000,0.048223,0.113373,0.000000,0.000000,0.000000,0.146030,0.000000,0.000000,0.000000,84.399805,428.814412,116.929161,9.001553,599.997192,600.000000,0.002808
0.000000,0.000000,6.753298,0.000000,2.593689,0.000000,5.945581,0.000000,0.048223,0.113373,0.000000,0.000000,0.000000,0.146030,0.000000,0.000000,0.000000,84.399805,428.814412,116.929161,9.001553,599.997192,600.000000,0.002808
0.000000,0.000000,6.758318,0.000000,2.593930,0.000000,5.946874,0.000000,0.046409,0.113356,0.000000,0.000000,0.000000,0.143936,0.000000,0.000000,0.000000,84.397176,429.165804,116.986291,9.001854,599.997192,600.000000,0.002808
0.000000,0.000000,6.756279,0.000000,2.593139,0.000000,5.947384,0.000000,0.047804,0.113379,0.000000,0.000000,0.000000,0.145871,0.000000,0.000000,0.000000,84.396145,426.700277,117.091649,9.001881,599.997192,600.000000,0.002808
0.000000,0.000000,6.629884,0.000000,2.589909,0.000000,5.949483,0.000000,0.049135,0.113452,0.000000,0.000000,0.000000,0.182829,0.000000,0.000000,0.000000,84.485309,439.058540,116.910962,9.003016,599.997192,600.000000,0.002808
0.000000,0.000000,6.744977,0.000000,2.589909,0.000000,5.949483,0.000000,0.049135,0.113452,0.000000,0.000000,0.000000,0.182829,0.000000,0.000000,0.000000,84.370215,439.058540,116.910962,9.003016,599.997192,600.000000,0.002808
0.000000,0.000000,6.744977,0.000000,2.589909,0.000000,5.949483,0.000000,0.049135,0.113452,0.000000,0.000000,0.000000,0.182829,0.000000,0.000000,0.000000,84.370215,439.058540,116.910962,9.003016,599.997192,600.000000,0.002808
0.000000,0.000000,6.744977,0.000000,2.589909,0.000000,5.949483,0.000000,0.046723,0.113452,0.000000,0.000000,0.000000,0.182829,0.000000,0.000000,0.000000,84.372628,439.058540,116.910962,9.003016,599.997192,600.000000,0.002808
0.000000,0.000000,6.744977,0.000000,2.589909,0.000000,5.949483,0.000000,0.048215,0.113452,0.000000,0.000000,0.000000,0.142456,0.000000,0.000000,0.000000,84.411508,428.066036,116.910962,9.003016,599.997192,600.000000,0.002808
0.000000,0.000000,6.744977,0.000000,2.589909,0.000000,5.839378,0.000000,0.049135,0.113452,0.000000,0.000000,0.000000,0.157062,0.000000,0.000000,0.000000,84.506087,439.058540,116.910962,9.003016,599.997192,600.000000,0.002808
0.000000,0.000000,6.743603,0.000000,2.589985,0.000000,5.949656,0.000000,0.049130,0.113445,0.000000,0.000000,0.000000,0.182782,0.000000,0.000000,0.000000,84.371399,439.016732,116.919161,9.003137,599.997192,600.000000,0.002808
0.000000,0.000000,6.744538,0.000000,2.589931,0.000000,5.845382,0.000000,0.049089,0.113451,0.000000,0.000000,0.000000,0.156523,0.000000,0.000000,0.000000,84.501085,438.502716,116.912784,9.003142,599.997192,600.000000,0.002808
0.000000,0.000000,6.723381,0.000000,2.590080,0.000000,5.949885,0.000000,0.036520,0.113441,0.000000,0.000000,0.000000,0.136880,0.000000,0.000000,0.000000,84.449814,438.962915,116.932777,9.003224,599.997192,600.000000,0.002808
0.000000,0.000000,6.741273,0.000000,2.590112,0.000000,5.949962,0.000000,0.040606,0.113439,0.000000,0.000000,0.000000,0.128088,0.000000,0.000000,0.000000,84.436521,438.944616,116.936952,9.003264,599.997192,600.000000,0.002808
0.000000,0.000000,6.741273,0.000000,2.590112,0.000000,5.949962,0.000000,0.040606,0.113439,0.000000,0.000000,0.000000,0.143896,0.000000,0.000000,0.000000,84.420713,438.944616,116.936952,9.003264,599.997192,600.000000,0.002808
0.000000,0.000000,6.461443,0.000000,2.591810,0.000000,5.950809,0.000000,0.048833,0.113384,0.000000,0.000000,0.000000,0.215488,0.000000,0.000000,0.000000,84.618233,435.954766,117.047635,9.003499,599.997192,600.000000,0.002808
0.000000,0.000000,6.737362,0.000000,2.590162,0.000000,5.949924,0.000000,0.040786,0.113439,0.000000,0.000000,0.000000,0.143912,0.000000,0.000000,0.000000,84.424414,410.346172,116.993027,9.004188,599.997192,600.000000,0.002808
0.000000,0.000000,6.746811,0.000000,2.590255,0.000000,5.943816,0.000000,0.048951,0.113293,0.000000,0.000000,0.000000,0.158249,0.000000,0.000000,0.000000,84.398625,418.597495,117.031099,9.005201,599.997192,600.000000,0.002808
0.000000,0.000000,6.431543,0.000000,2.589291,0.000000,5.953596,0.000000,0.048914,0.113475,0.000000,0.000000,0.000000,0.187234,0.000000,0.000000,0.000000,84.675947,436.794794,119.419432,9.037372,599.997192,600.000000,0.002808
0.000000,0.000000,6.715160,0.000000,2.592019,0.000000,5.884433,0.000000,0.049347,0.110131,0.000000,0.000000,0.000000,0.179152,0.000000,0.000000,0.000000,84.469758,439.914749,114.444513,8.534409,600.011230,600.000000,0.011230
0.000000,0.000000,6.746524,0.000000,2.597795,0.000000,5.893703,0.000000,0.049318,0.113644,0.000000,0.000000,0.000000,0.146924,0.000000,0.000000,0.000000,84.452093,454.921038,116.925380,8.542647,600.011230,600.000000,0.011230
0.000000,0.000000,6.745568,0.000000,2.588950,0.000000,5.948904,0.000000,0.037768,0.112249,0.000000,0.000000,0.000000,0.149808,0.000000,0.000000,0.000000,84.416752,430.272269,117.101789,8.942273,600.011230,600.000000,0.011230
0.000000,0.000000,6.820838,0.000000,2.643234,0.000000,6.117167,0.000000,0.045847,0.106163,0.000000,0.000000,0.000000,0.168582,0.000000,0.000000,0.000000,84.098169,418.203044,111.489721,7.840416,600.011963,600.000000,0.011963
0.000000,0.000000,6.859602,0.000000,2.593950,0.000000,5.859887,0.000000,0.051160,0.102483,0.000000,0.000000,0.000000,0.173964,0.000000,0.000000,0.000000,84.358954,439.953464,107.680752,8.441884,600.024841,600.000000,0.024841
0.000000,0.000000,6.526354,0.000000,2.589152,0.000000,5.542807,0.000000,0.048641,0.115828,0.000000,0.000000,0.000000,0.176671,0.000000,0.000000,0.000000,85.000547,469.281507,117.077184,9.046056,600.358154,600.000000,0.358154
0.000000,0.000000,6.901953,0.000000,2.579757,0.000000,6.085551,0.000000,0.036158,0.102104,0.000000,0.000000,0.000000,0.140667,0.000000,0.000000,0.000000,84.153810,436.028777,116.766324,9.010559,599.599426,600.000000,0.400574
0.000000,0.000000,6.380757,0.000000,3.108792,0.000000,5.934351,0.000000,0.050083,0.120393,0.000000,0.000000,0.000000,0.191572,0.000000,0.000000,0.000000,84.214051,437.950693,116.645091,7.751181,599.578003,600.000000,0.421997
0.000000,0.000000,6.856262,0.000000,2.945081,0.000000,6.188455,0.000000,0.042221,0.089564,0.000000,0.000000,0.000000,0.180951,0.000000,0.000000,0.000000,83.697465,448.785339,133.191032,9.040411,600.429382,600.000000,0.429382
0.000000,0.000000,7.713209,0.000000,2.553906,0.000000,5.871026,0.000000,0.041884,0.094699,0.000000,0.000000,0.000000,0.175277,0.000000,0.000000,0.000000,83.550000,438.695589,128.864311,9.164393,599.546814,600.000000,0.453186
0.000000,0.000000,6.717903,0.000000,2.587420,0.000000,5.969916,0.000000,0.045088,0.107911,0.000000,0.000000,0.000000,0.172232,0.000000,0.000000,0.000000,84.399529,432.678745,131.435143,9.211934,599.511780,600.000000,0.488220
0.000000,0.000000,6.879333,0.000000,2.593623,0.000000,5.887258,0.000000,0.051930,0.100713,0.000000,0.000000,0.000000,0.173628,0.000000,0.000000,0.000000,84.313514,452.678550,105.828964,8.680818,599.506592,600.000000,0.493408
0.000000,0.000000,6.561746,0.000000,2.894866,0.000000,5.948903,0.000000,0.046855,0.113940,0.000000,0.000000,0.000000,0.205983,0.000000,0.000000,0.000000,84.227708,437.392663,116.893453,5.639225,600.501099,600.000000,0.501099
0.000000,0.000000,7.226043,0.000000,2.532676,0.000000,5.868741,0.000000,0.047362,0.117053,0.000000,0.000000,0.000000,0.160456,0.000000,0.000000,0.000000,84.047669,435.324785,133.970889,5.084842,600.531555,600.000000,0.531555
0.000000,0.000000,6.672211,0.000000,2.833848,0.000000,5.924789,0.000000,0.047304,0.124002,0.000000,0.000000,0.000000,0.165730,0.000000,0.000000,0.000000,84.232116,425.876037,117.266986,8.914229,599.456360,600.000000,0.543640
0.000000,0.000000,6.735767,0.000000,2.987846,0.000000,5.924038,0.000000,0.046174,0.120418,0.000000,0.000000,0.000000,0.187497,0.000000,0.000000,0.000000,83.998261,415.746126,115.375158,9.054346,599.442322,600.000000,0.557678
0.000000,0.000000,7.013095,0.000000,2.785890,0.000000,5.950133,0.000000,0.049463,0.115516,0.000000,0.000000,0.000000,0.171801,0.000000,0.000000,0.000000,83.914103,452.774032,116.942815,5.870174,600.606018,600.000000,0.606018
0.000000,0.000000,6.751770,0.000000,2.579410,0.000000,5.952046,0.000000,0.041402,0.113290,0.000000,0.000000,0.000000,0.152542,0.000000,0.000000,0.000000,84.409540,435.375264,117.062721,5.711397,600.789246,600.000000,0.789246
0.000000,0.000000,6.631550,0.000000,2.592982,0.000000,5.950922,0.000000,0.051218,0.115358,0.000000,0.000000,0.000000,0.143521,0.000000,0.000000,0.000000,84.514449,434.096231,117.262830,9.007295,599.115479,600.000000,0.884521
0.000000,0.000000,6.745992,0.000000,2.590214,0.000000,5.949284,0.000000,0.058422,0.113445,0.000000,0.000000,0.000000,0.179870,0.000000,0.000000,0.000000,84.362773,438.306048,116.916691,9.002928,599.104126,600.000000,0.895874
0.000000,0.000000,6.741396,0.000000,2.590095,0.000000,5.949972,0.000000,0.052419,0.113442,0.000000,0.000000,0.000000,0.167106,0.000000,0.000000,0.000000,84.385570,434.797061,116.925813,9.004040,599.104126,600.000000,0.895874
0.000000,0.000000,6.740417,0.000000,2.590146,0.000000,5.950106,0.000000,0.050507,0.113439,0.000000,0.000000,0.000000,0.162807,0.000000,0.000000,0.000000,84.392578,435.041057,116.929874,9.004320,599.104126,600.000000,0.895874
0.000000,0.000000,6.691951,0.000000,2.590271,0.000000,5.942657,0.000000,0.057464,0.113436,0.000000,0.000000,0.000000,0.184173,0.000000,0.000000,0.000000,84.420049,438.441708,116.074272,9.218901,599.104126,600.000000,0.895874
0.000000,0.000000,6.511282,0.000000,2.591506,0.000000,5.919399,0.000000,0.050831,0.113384,0.000000,0.000000,0.000000,0.188752,0.000000,0.000000,0.000000,84.624847,436.340088,113.223568,9.954446,599.104126,600.000000,0.895874
0.000000,0.000000,6.740651,0.000000,3.112665,0.000000,5.915117,0.000000,0.046840,0.120842,0.000000,0.000000,0.000000,0.184866,0.000000,0.000000,0.000000,83.879019,411.373384,115.642673,6.225160,601.093689,600.000000,1.093689
0.000000,0.000000,6.591218,0.000000,2.588339,0.000000,5.953005,0.000000,0.048483,0.101118,0.000000,0.000000,0.000000,0.170306,0.000000,0.000000,0.000000,84.547531,432.404178,117.072630,8.289820,598.847717,600.000000,1.152283
0.000000,0.000000,6.648910,0.000000,2.628302,0.000000,5.948647,0.000000,0.048481,0.113853,0.000000,0.000000,0.000000,0.147153,0.000000,0.000000,0.000000,84.464654,432.202036,118.984838,6.596217,598.748352,600.000000,1.251648
0.000000,0.000000,6.999938,0.000000,3.189490,0.000000,5.949265,0.000000,0.049708,0.105038,0.000000,0.000000,0.000000,0.150347,0.000000,0.000000,0.000000,83.556215,447.014952,117.011762,5.007646,598.731384,600.000000,1.268616
0.000000,0.000000,6.734494,0.000000,2.592498,0.000000,5.869685,0.000000,0.049395,0.097082,0.000000,0.000000,0.000000,0.157753,0.000000,0.000000,0.000000,84.499093,440.108870,113.885316,8.428166,598.662354,600.000000,1.337646
0.000000,0.000000,6.745185,0.000000,2.610217,0.000000,6.005146,0.000000,0.046845,0.113656,0.000000,0.000000,0.000000,0.162295,0.000000,0.000000,0.000000,84.316656,428.214365,117.188647,7.578435,601.357544,600.000000,1.357544
0.000000,0.000000,6.746563,0.000000,2.650369,0.000000,5.945005,0.000000,0.048250,0.113486,0.000000,0.000000,0.000000,0.150723,0.000000,0.000000,0.000000,84.345605,429.512283,115.862766,11.737879,598.582458,600.000000,1.417542
0.000000,0.000000,6.980266,0.000000,3.241563,0.000000,5.870030,0.000000,0.049865,0.117349,0.000000,0.000000,0.000000,0.190926,0.000000,0.000000,0.000000,83.550000,453.177151,137.303256,6.409721,601.419006,600.000000,1.419006
0.000000,0.000000,6.722111,0.000000,2.591459,0.000000,5.948062,0.000000,0.049631,0.114951,0.000000,0.000000,0.000000,0.153916,0.000000,0.000000,0.000000,84.419870,438.344365,135.492128,9.005360,601.514587,600.000000,1.514587
0.000000,0.000000,7.406302,0.000000,2.590249,0.000000,5.946221,0.000000,0.045985,0.113433,0.000000,0.000000,0.000000,0.146492,0.000000,0.000000,0.000000,83.751319,437.221013,133.861840,9.004625,601.542542,600.000000,1.542542
0.000000,0.000000,6.740059,0.000000,2.544120,0.000000,5.948332,0.000000,0.042950,0.113436,0.000000,0.000000,0.000000,0.145027,0.000000,0.000000,0.000000,84.466077,438.193615,124.311394,9.003857,601.625549,600.000000,1.625549
0.000000,0.000000,6.746561,0.000000,2.598355,0.000000,5.876913,0.000000,0.045270,0.113553,0.000000,0.000000,0.000000,0.157606,0.000000,0.000000,0.000000,84.461742,436.260411,142.338182,8.731535,601.661682,600.000000,1.661682
0.000000,0.000000,7.083472,0.000000,2.526875,0.000000,6.405008,0.000000,0.050920,0.110464,0.000000,0.000000,0.000000,0.164563,0.000000,0.000000,0.000000,83.658698,405.867783,116.972085,9.116102,601.679932,600.000000,1.679932
0.000000,0.000000,6.734579,0.000000,2.560103,0.000000,6.221270,0.000000,0.041018,0.103109,0.000000,0.000000,0.000000,0.160775,0.000000,0.000000,0.000000,84.179147,430.294702,119.174025,5.286950,601.879822,600.000000,1.879822
0.000000,0.000000,6.559843,0.000000,2.592488,0.000000,5.950874,0.000000,0.048565,0.090461,0.000000,0.000000,0.000000,0.204925,0.000000,0.000000,0.000000,84.552843,434.879676,117.172117,9.005695,598.050964,600.000000,1.949036
0.000000,0.000000,6.802353,0.000000,2.589363,0.000000,5.966205,0.000000,0.047841,0.090594,0.000000,0.000000,0.000000,0.150336,0.000000,0.000000,0.000000,84.353307,431.636429,113.520205,9.041499,598.050964,600.000000,1.949036
0.000000,0.000000,7.049027,0.000000,2.539581,0.000000,5.934508,0.000000,0.044362,0.118652,0.000000,0.000000,0.000000,0.167188,0.000000,0.000000,0.000000,84.146682,440.690597,129.923424,8.544406,601.979736,600.000000,1.979736
0.000000,0.000000,6.761952,0.000000,2.968217,0.000000,5.956137,0.000000,0.041254,0.100443,0.000000,0.000000,0.000000,0.152375,0.000000,0.000000,0.000000,84.019621,439.225085,120.648817,8.989657,597.841614,600.000000,2.158386
0.000000,0.000000,6.858224,0.000000,2.697341,0.000000,6.091887,0.000000,0.041283,0.101629,0.000000,0.000000,0.000000,0.168827,0.000000,0.000000,0.000000,84.040809,429.536371,117.129226,5.948097,602.188660,600.000000,2.188660
0.000000,0.000000,6.732797,0.000000,2.588178,0.000000,5.953854,0.000000,0.047549,0.113536,0.000000,0.000000,0.000000,0.171887,0.000000,0.000000,0.000000,84.392200,425.728278,120.937542,9.056088,602.236938,600.000000,2.236938
0.000000,0.000000,6.736373,0.000000,2.592752,0.000000,5.800723,0.000000,0.049906,0.113395,0.000000,0.000000,0.000000,0.165490,0.000000,0.000000,0.000000,84.541360,431.303918,120.890681,10.620434,602.256348,600.000000,2.256348
0.000000,0.000000,6.645077,0.000000,2.710850,0.000000,6.023542,0.000000,0.041161,0.110134,0.000000,0.000000,0.000000,0.158055,0.000000,0.000000,0.000000,84.311181,433.730179,113.050888,11.728101,602.294739,600.000000,2.294739
0.000000,0.000000,6.802201,0.000000,2.597005,0.000000,5.942402,0.000000,0.041592,0.123697,0.000000,0.000000,0.000000,0.142033,0.000000,0.000000,0.000000,84.351070,435.199836,116.759948,8.914760,602.366577,600.000000,2.366577
