feature,importance
Ageing Time,0.17383261259068356
Ageing Temp,0.11611444495873038
Al,0.09834642054144904
SS Temp,0.0808670191073703
Si,0.06519106042380303
Cu,0.06470441967848636
Mg,0.06462675476774385
Fe,0.060860891792635395
Zn,0.05653577504537675
Li,0.051387514499937836
Mn,0.045894447926164546
Cr,0.04022795355247381
Zr,0.03512089990211871
Ti,0.02254183123899881
Ni,0.01254600001730019
Sc,0.004910978304777523
V,0.0028244326110668447
Be,0.0013759582512466522
Bi,0.0008138610384169455
Pb,0.0007707370953995183
Ag,0.0005059866558199786
