feature,importance
Al,0.135160050327853
Mg,0.10362171130050121
Cu,0.10294972626920106
SS Temp,0.10078529775002844
Zn,0.092397963242966
Ageing Temp,0.08171293183125233
Si,0.0774530852980968
Ageing Time,0.0713530738377496
Zr,0.06170600229069436
Fe,0.04428620115827796
Mn,0.044072684915816736
Ti,0.02169656919450206
Cr,0.01882957004359689
Li,0.016810643158803255
Be,0.006622916986288072
V,0.006255186752891983
Sc,0.006217539634295263
Ni,0.005613953750616173
Bi,0.0011871111027786322
Pb,0.0009734583159147098
Ag,0.0002943228378757084
