feature,importance
Al,0.20535319135519384
Zn,0.13757620408107732
Mg,0.13739127757464017
SS Temp,0.1252346996080791
Cu,0.08890989242475253
Zr,0.0650722280644613
Ageing Time,0.05985081650119963
Ageing Temp,0.05621276949546996
Si,0.04281869013983298
Mn,0.01910406878904947
Fe,0.01590968757403626
Li,0.01456076146592655
Cr,0.010588489210223045
Ni,0.009051891037523152
Ti,0.007249693016415207
Sc,0.002969175989186743
V,0.0008890287264685069
Be,0.0007128417573916353
Pb,0.00019784713121913378
Bi,0.00018696621277807248
Ag,0.00015977984507546897
