feature,importance
Al,0.2176212156441753
Zn,0.12535107040565505
Cu,0.10873967166694024
Mg,0.10517586787027104
SS Temp,0.10248005953604207
Ageing Temp,0.07105469886122605
Zr,0.06987999910749282
Ageing Time,0.06358097261919758
Si,0.04425614791828319
Mn,0.020228707971229314
Li,0.018637818230988056
Cr,0.0158011913383224
Fe,0.01428434014844905
Ni,0.009845733463676143
Ti,0.006202693812445886
Sc,0.0038220255658762744
V,0.0010034443697615235
Be,0.0009319465426646151
Pb,0.0004243873691930094
Bi,0.00039862316156360887
Ag,0.0002793843965466646
