feature,importance
Al,0.22268507146069152
Zn,0.11760881992709205
Mg,0.10194268704934925
SS Temp,0.0990241957778028
Cu,0.09477400347058573
EL,0.07339792044198976
Zr,0.05998968858806616
Ageing Temp,0.059946039040798565
Ageing Time,0.05205941132112779
Si,0.039287019896854306
Mn,0.019418770728931736
Li,0.017496870514724924
Cr,0.012700548334546357
Fe,0.012641863652625235
Ni,0.006189337480694152
Ti,0.004756468799920819
Sc,0.0034137721978842323
V,0.0010339867751994012
Be,0.0007726836631391841
Bi,0.00035969099904173944
Pb,0.000317169826265158
Ag,0.0001839800526691421
