feature,importance
Ageing Time,0.12604701860369544
UTS,0.12163861372737243
Ageing Temp,0.11133704533010202
Al,0.0838559993177451
Si,0.0699477370986645
Fe,0.06467135120366678
SS Temp,0.06003887973139117
Cu,0.05420089017277533
Zn,0.053543852651549054
Mg,0.05244262684255091
Li,0.045726908096915875
Mn,0.04353433126980672
Cr,0.04068621069356224
Zr,0.029281805248318433
Ti,0.02105146977228924
Ni,0.01087896457712746
Sc,0.004286917577409335
V,0.0034864720248880695
Be,0.0013828969770441374
Bi,0.0008911502721639914
Pb,0.0008870816148849303
Ag,0.00018177719607682924
